@relation 'Sax dominant'

@attribute o1atMbed numeric
@attribute o1atLbed numeric
@attribute o1atMcec numeric
@attribute o1atLcec numeric
@attribute o1atMaaa numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMdec numeric
@attribute o1atLdec numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMecc numeric
@attribute o1atLecc numeric
@attribute o1atLeee numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMecb numeric
@attribute o1atLecb numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMbee numeric
@attribute o1atLbee numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMeec numeric
@attribute o1atLeec numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMeea numeric
@attribute o1atLeea numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMdeb numeric
@attribute o1atLdeb numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMeaa numeric
@attribute o1atLeaa numeric
@attribute o1atMdce numeric
@attribute o1atLdce numeric
@attribute o1atMecd numeric
@attribute o1atLecd numeric
@attribute o1atMcdb numeric
@attribute o1atLcdb numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMdbc numeric
@attribute o1atLdbc numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMeba numeric
@attribute o1atLeba numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMeeb numeric
@attribute o1atLeeb numeric
@attribute o1atMece numeric
@attribute o1atLece numeric
@attribute o1atMbdb numeric
@attribute o1atLbdb numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMebb numeric
@attribute o1atLebb numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMbca numeric
@attribute o1atLbca numeric
@attribute o1atMeca numeric
@attribute o1atLeca numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMcbd numeric
@attribute o1atLcbd numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMadc numeric
@attribute o1atLadc numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMcbe numeric
@attribute o1atLcbe numeric
@attribute o1atMced numeric
@attribute o1atLced numeric
@attribute o1atMdaa numeric
@attribute o1atLdaa numeric
@attribute o1atMada numeric
@attribute o1atLada numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMabe numeric
@attribute o1atLabe numeric
@attribute o1atMaad numeric
@attribute o1atLaad numeric
@attribute o1atMbae numeric
@attribute o1atLbae numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMedb numeric
@attribute o1atLedb numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o1atMadb numeric
@attribute o1atLadb numeric
@attribute o1atMdbe numeric
@attribute o1atLdbe numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMaae numeric
@attribute o1atLaae numeric
@attribute o1atMaec numeric
@attribute o1atLaec numeric
@attribute o1atMaee numeric
@attribute o1atLaee numeric
@attribute o1atMebc numeric
@attribute o1atLebc numeric
@attribute destClass ,1}

@data
41,32,46,32,18,21,70,59,32,46,49,19,72,20,74,41,51,49,32,39,50,48,33,49,41,47,32,30,47,44,39,32,48,45,62,31,61,31,20,71,21,72,18,73,49,42,36,53,37,54,50,42,22,45,34,70,46,44,20,53,41,42,60,32,61,32,50,32,59,40,49,32,22,51,41,45,41,31,62,30,49,31,22,55,40,50,20,31,36,54,39,32,50,31,39,44,20,55,22,45,19,32,50,33,49,32,39,44,41,44,40,44,37,45,20,32,41,32,39,42,39,31,50,30,36,44,20,44,36,32,37,33,20,54,20,32,41,33,21,53,40,45,36,44,20,50,19,53,22,44,21,54,40,33,50,32,19,44,18,44,20,44,22,33,20,45,21,33,22,42,39,32,18,54,21,44,40,33,21,54,20,33,22,32,22,31,40,32,0.0
40,29,44,28,24,30,58,54,27,43,42,27,63,27,64,37,46,48,28,39,45,48,27,49,33,47,29,22,46,38,41,30,46,35,63,24,62,24,29,60,30,61,25,64,48,35,37,48,36,50,48,33,31,42,36,58,44,36,29,49,40,36,57,26,58,26,51,26,53,32,50,28,30,46,39,38,45,26,63,22,52,25,30,51,38,43,30,26,36,50,41,29,53,24,40,39,27,51,31,38,27,31,51,27,50,27,40,37,38,39,39,38,38,41,30,31,43,29,41,36,43,26,53,23,37,41,30,41,39,31,40,32,29,50,30,30,41,30,30,48,40,35,38,40,29,45,27,49,30,39,30,50,42,27,48,27,27,41,25,41,30,39,31,32,27,42,30,32,31,36,42,29,25,50,30,41,43,27,30,50,27,32,30,30,31,26,40,29,0.0
34,5,48,7,0,5,80,83,5,43,41,1,86,1,87,28,47,56,6,30,47,51,6,56,23,50,6,4,48,29,35,6,49,28,87,5,86,4,4,80,5,81,1,87,55,25,25,54,23,55,57,24,7,35,19,75,47,31,5,56,34,25,84,4,85,6,59,6,82,21,57,5,7,48,31,30,36,5,87,4,59,5,7,58,31,44,7,5,21,55,35,6,60,5,34,32,1,58,8,31,1,7,58,6,58,4,31,31,30,33,32,29,25,34,5,7,36,6,35,25,36,5,60,4,22,34,5,34,26,6,26,8,5,57,7,7,33,7,7,56,34,29,26,33,6,48,1,58,7,33,5,56,35,6,58,5,1,34,1,34,6,33,7,8,1,35,5,8,8,25,36,5,1,58,5,34,36,6,5,55,1,8,7,7,8,5,32,6,0.0
30,9,31,10,23,26,66,76,9,31,64,24,67,25,69,28,65,35,10,28,64,34,11,36,51,33,10,3,32,56,28,10,34,56,84,5,83,5,25,66,27,67,24,68,34,53,28,64,28,66,38,53,27,58,28,66,31,56,25,64,30,54,78,9,79,11,38,11,73,50,35,9,27,65,29,57,30,5,84,3,36,5,27,66,28,64,25,5,28,65,28,10,38,5,28,56,25,66,27,57,24,10,36,11,37,9,28,56,28,57,28,56,29,58,25,10,30,11,28,53,28,5,37,3,28,57,25,56,28,10,29,11,25,65,25,10,29,11,26,64,29,56,28,56,25,64,24,64,27,57,27,65,29,11,38,9,24,56,24,57,25,56,27,11,25,58,26,11,27,54,28,9,24,65,27,57,29,11,26,66,25,11,27,10,27,5,28,10,1.0
32,10,46,10,20,25,63,76,10,45,60,22,67,23,68,31,61,53,10,31,60,49,11,52,34,49,10,2,49,41,31,10,48,41,84,5,83,5,24,64,26,65,22,68,53,37,30,60,30,62,52,37,26,41,29,63,46,40,25,61,32,37,78,10,79,10,53,10,74,34,53,10,26,62,31,41,32,5,84,3,53,5,26,63,31,60,26,5,29,61,31,10,53,5,31,41,23,63,26,41,23,10,53,10,52,10,31,40,32,40,31,41,30,41,25,10,32,10,31,37,31,5,53,3,29,40,25,41,30,10,30,11,24,62,26,10,31,11,26,60,31,41,30,41,26,61,23,62,27,41,26,62,31,11,52,10,23,41,22,41,26,41,26,11,23,41,25,11,27,37,31,10,22,63,26,41,31,10,25,62,23,11,27,10,27,5,31,10,1.0
29,8,31,8,24,25,68,79,8,30,65,24,68,25,70,29,66,33,8,27,65,32,9,35,55,31,8,2,31,58,27,8,32,60,86,4,85,4,24,68,26,69,24,69,33,55,27,65,28,67,36,56,26,60,27,68,31,59,24,65,29,56,81,7,82,9,36,9,77,53,34,8,26,66,29,60,29,4,86,2,34,4,26,67,28,65,24,4,27,66,27,8,36,4,27,58,25,67,26,60,24,8,35,9,35,7,27,59,29,59,28,58,28,60,24,8,29,9,27,55,27,4,35,2,27,59,24,58,27,8,28,9,24,66,24,8,29,9,25,65,28,60,27,58,24,65,24,65,26,59,26,66,28,9,36,8,24,58,24,59,24,58,26,9,25,60,25,9,26,56,27,8,24,66,26,59,28,9,25,67,25,9,26,8,26,4,28,8,1.0
40,19,45,19,16,24,64,65,19,45,51,19,69,19,70,40,53,48,19,39,52,47,20,49,41,46,19,7,46,44,39,19,47,46,75,11,74,11,23,64,24,65,19,70,48,42,37,53,37,55,50,43,24,46,35,62,45,45,24,54,40,43,66,19,67,20,50,20,61,40,48,19,25,53,40,46,40,11,75,10,48,11,24,55,39,51,24,11,36,54,39,19,50,11,39,44,19,55,25,46,19,19,49,20,49,19,39,45,40,45,39,44,37,46,24,19,40,20,39,42,39,11,49,10,36,45,24,44,37,19,37,20,23,54,24,19,40,20,24,53,39,46,37,44,24,52,19,54,25,45,25,55,39,20,50,19,19,44,19,45,24,44,24,20,19,46,24,20,25,43,39,19,19,55,25,45,39,20,24,55,19,20,25,19,25,11,39,19,0.0
40,28,57,28,20,23,69,63,28,55,50,20,70,21,72,40,53,59,28,38,52,57,29,59,32,56,28,26,56,34,38,28,56,35,66,27,65,27,22,68,24,69,21,71,59,31,36,54,37,56,59,31,24,35,34,67,57,34,22,54,40,31,64,28,65,28,60,28,63,30,59,28,24,53,40,35,40,27,66,26,59,27,24,56,39,50,22,27,34,55,38,28,60,27,38,34,21,56,24,35,20,28,60,28,59,28,38,34,40,34,39,34,37,35,22,28,40,28,38,31,38,27,60,26,34,34,22,34,36,28,37,29,22,55,22,28,40,29,23,54,39,35,36,34,22,52,20,54,24,34,24,55,39,29,59,28,20,34,21,34,22,34,24,29,21,35,23,29,24,31,38,28,21,55,24,34,39,28,23,56,21,29,24,28,24,27,39,28,0.0
30,4,31,4,21,22,71,86,4,31,64,21,71,22,73,30,65,34,4,28,64,32,5,35,55,31,4,1,31,58,28,4,32,60,90,2,89,2,21,71,23,72,21,72,34,55,28,64,29,66,36,56,23,60,28,71,31,59,21,64,30,56,87,4,88,5,36,5,85,52,34,4,23,65,30,60,30,2,90,1,34,2,23,66,29,64,21,2,28,65,28,4,36,2,28,58,22,66,23,60,21,4,35,5,35,4,28,59,30,59,29,58,29,60,21,4,30,5,28,55,28,2,35,1,28,59,21,58,28,4,29,5,21,65,21,4,30,5,22,64,29,60,28,58,21,64,21,64,23,59,23,65,29,5,36,4,21,58,21,59,21,58,23,5,22,60,22,5,23,56,28,4,21,65,23,59,29,5,22,66,22,5,23,4,23,2,29,4,1.0
39,25,55,25,23,28,61,65,25,55,53,25,65,25,66,39,55,59,25,37,54,58,26,59,30,57,25,21,57,34,37,25,57,35,69,23,68,23,28,62,29,63,24,66,59,32,36,55,37,57,59,32,29,35,35,60,55,34,28,55,39,32,66,25,67,25,60,25,65,30,59,25,29,55,39,35,39,23,69,22,59,23,29,57,38,53,28,23,35,56,37,25,60,23,37,34,25,57,29,35,25,25,60,25,59,25,37,34,39,34,38,34,37,35,28,25,39,25,37,32,37,23,60,22,35,34,28,34,36,25,37,26,28,56,28,25,39,26,28,55,38,35,36,34,28,54,25,55,29,34,29,56,38,26,59,25,25,34,24,34,28,34,29,26,25,35,28,26,29,32,37,25,24,56,29,34,38,25,28,57,25,26,29,25,29,23,38,25,0.0
