@relation 'Sax dominant'

@attribute o1atMbed numeric
@attribute o1atLbed numeric
@attribute o1atMcec numeric
@attribute o1atLcec numeric
@attribute o1atMaaa numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMdec numeric
@attribute o1atLdec numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMecc numeric
@attribute o1atLecc numeric
@attribute o1atLeee numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMecb numeric
@attribute o1atLecb numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMbee numeric
@attribute o1atLbee numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMeec numeric
@attribute o1atLeec numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMeea numeric
@attribute o1atLeea numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMdeb numeric
@attribute o1atLdeb numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMeaa numeric
@attribute o1atLeaa numeric
@attribute o1atMdce numeric
@attribute o1atLdce numeric
@attribute o1atMecd numeric
@attribute o1atLecd numeric
@attribute o1atMcdb numeric
@attribute o1atLcdb numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMdbc numeric
@attribute o1atLdbc numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMeba numeric
@attribute o1atLeba numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMeeb numeric
@attribute o1atLeeb numeric
@attribute o1atMece numeric
@attribute o1atLece numeric
@attribute o1atMbdb numeric
@attribute o1atLbdb numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMebb numeric
@attribute o1atLebb numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMbca numeric
@attribute o1atLbca numeric
@attribute o1atMeca numeric
@attribute o1atLeca numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMcbd numeric
@attribute o1atLcbd numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMadc numeric
@attribute o1atLadc numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMcbe numeric
@attribute o1atLcbe numeric
@attribute o1atMced numeric
@attribute o1atLced numeric
@attribute o1atMdaa numeric
@attribute o1atLdaa numeric
@attribute o1atMada numeric
@attribute o1atLada numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMabe numeric
@attribute o1atLabe numeric
@attribute o1atMaad numeric
@attribute o1atLaad numeric
@attribute o1atMbae numeric
@attribute o1atLbae numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMedb numeric
@attribute o1atLedb numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o1atMadb numeric
@attribute o1atLadb numeric
@attribute o1atMdbe numeric
@attribute o1atLdbe numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMaae numeric
@attribute o1atLaae numeric
@attribute o1atMaec numeric
@attribute o1atLaec numeric
@attribute o1atMaee numeric
@attribute o1atLaee numeric
@attribute o1atMebc numeric
@attribute o1atLebc numeric
@attribute destClass ,1}

@data
48,28,57,28,12,20,66,63,28,57,36,15,73,16,75,47,39,59,28,47,39,59,28,59,32,58,28,26,58,32,47,28,58,33,66,27,65,27,17,69,21,70,12,74,59,32,42,43,42,46,59,33,21,35,38,65,57,33,19,45,48,33,64,28,65,28,60,28,63,32,59,28,21,39,48,34,49,27,66,26,59,27,21,46,47,38,19,27,41,45,48,28,60,27,47,33,16,46,21,34,15,28,60,28,59,28,47,34,47,33,48,33,42,35,19,28,49,28,48,33,48,27,60,26,41,34,19,34,42,28,43,29,17,45,19,28,49,28,20,43,47,33,42,34,19,39,15,45,21,33,21,45,48,28,59,28,15,34,12,34,19,33,21,29,16,35,20,29,21,33,48,28,12,45,21,34,49,28,20,46,16,29,21,28,21,27,48,28,0.0
49,25,55,25,7,20,66,65,25,55,41,11,73,11,74,48,43,57,25,48,43,57,25,57,34,56,25,22,56,36,48,25,56,35,69,23,68,23,20,64,21,65,13,74,57,35,46,45,47,46,57,35,21,37,45,61,55,36,20,45,49,35,66,25,67,25,58,25,64,34,57,25,21,43,49,36,49,23,69,22,57,23,21,46,48,42,20,23,45,45,48,25,58,23,48,36,11,46,21,36,11,25,58,25,57,25,48,36,48,36,48,36,47,37,20,25,49,25,48,35,48,23,58,22,45,36,20,36,46,25,47,26,20,45,20,25,49,25,20,45,48,36,46,36,20,43,11,45,21,36,21,45,49,26,57,25,11,36,13,36,20,36,21,26,11,37,20,26,21,35,48,25,13,45,21,36,49,25,20,46,11,26,21,25,21,23,48,25,0.0
43,26,61,26,18,22,69,66,26,60,44,19,71,20,73,42,48,62,26,41,47,62,26,64,28,61,26,24,61,30,41,26,62,30,68,25,68,25,21,69,23,70,19,72,62,28,37,51,38,53,64,28,23,31,34,68,61,30,21,51,43,28,67,25,67,26,64,26,66,27,63,26,23,48,43,31,43,25,68,24,63,25,23,53,42,45,21,25,35,52,41,26,64,25,41,30,20,53,23,31,19,26,64,26,64,25,41,30,42,30,42,30,38,31,21,26,43,26,41,28,41,25,64,24,35,30,21,30,37,26,38,26,21,52,21,26,43,26,22,51,42,30,37,30,21,47,19,51,23,30,23,52,42,26,64,26,19,30,19,30,21,30,23,26,20,31,22,26,23,28,41,26,19,52,23,30,42,26,22,53,20,26,23,26,23,25,42,26,0.0
30,21,40,21,21,22,71,66,21,38,62,21,71,22,73,30,64,46,21,28,63,43,22,46,41,42,21,15,42,47,28,21,42,48,73,18,72,18,21,71,23,72,21,72,46,43,27,64,28,66,46,43,23,48,27,71,40,47,21,64,30,43,69,21,70,21,47,21,66,41,46,21,23,64,30,48,30,18,73,15,46,18,23,66,29,63,21,18,27,65,28,21,47,18,28,47,22,66,23,48,21,21,47,21,46,21,28,47,30,47,29,47,28,48,21,21,30,21,28,43,28,18,47,15,27,47,21,47,27,21,28,22,21,65,21,21,30,22,22,64,29,48,27,47,21,63,21,64,23,47,23,65,29,22,46,21,21,47,21,47,21,47,23,22,22,48,22,22,23,43,28,21,21,65,23,47,29,21,22,66,22,22,23,21,23,18,29,21,1.0
36,20,53,20,10,17,72,69,20,53,54,12,76,13,78,36,56,55,20,33,55,55,21,56,35,54,20,12,54,35,33,20,55,39,74,14,73,14,16,72,18,73,12,77,55,35,31,58,32,60,56,37,18,39,29,70,53,37,16,58,36,37,67,20,68,20,57,21,65,35,55,20,18,56,36,39,36,14,74,16,55,14,18,60,34,55,16,14,31,59,34,20,57,14,33,36,13,60,18,39,12,20,56,20,56,20,33,38,36,37,35,36,32,39,16,20,36,21,34,36,34,14,56,16,31,38,16,37,31,20,32,21,16,59,16,20,36,21,17,58,34,39,31,37,16,55,12,58,18,37,18,59,34,21,56,20,12,37,12,38,16,36,18,21,13,39,17,21,18,37,34,20,12,59,18,38,35,20,17,60,13,21,18,20,18,14,35,20,1.0
40,25,49,25,23,28,62,63,25,48,54,25,65,26,67,40,55,53,25,38,54,51,26,53,36,50,25,20,50,40,38,25,50,41,69,22,68,22,27,63,29,64,24,66,53,37,38,54,39,56,53,37,29,41,38,62,49,40,27,54,40,37,65,25,66,25,54,25,62,35,53,25,29,55,40,41,40,22,69,20,53,22,29,56,39,54,27,22,38,55,38,25,54,22,38,40,26,56,29,41,25,25,54,25,53,25,38,40,40,40,39,40,39,41,27,25,40,25,38,37,38,22,54,20,38,40,27,40,38,25,39,26,27,55,27,25,40,26,28,54,39,41,38,40,27,54,25,54,29,40,29,55,39,26,53,25,25,40,24,40,27,40,29,26,26,41,28,26,29,37,38,25,24,55,29,40,39,25,28,56,26,26,29,25,29,22,39,25,1.0
42,27,44,27,27,30,61,60,27,44,52,28,63,29,65,42,53,44,27,40,52,45,28,45,48,44,27,19,44,48,40,27,45,50,67,23,66,23,29,62,31,63,27,64,44,48,40,52,41,54,46,49,31,50,40,61,44,49,29,52,42,49,62,27,63,28,46,28,60,48,44,27,31,53,42,50,42,23,67,21,44,23,31,54,41,52,29,23,40,53,40,27,46,23,40,48,29,54,31,50,28,27,45,28,45,27,40,49,42,49,41,48,41,50,29,27,42,28,40,48,40,23,45,21,40,49,29,48,40,27,41,28,29,53,29,27,42,28,30,52,41,50,40,48,29,52,28,52,31,49,31,53,41,28,46,27,28,48,27,49,29,48,31,28,29,50,30,28,31,49,40,27,27,53,31,49,41,28,30,54,29,28,31,27,31,23,41,27,1.0
48,22,55,22,19,23,68,67,22,55,44,20,70,21,72,48,45,55,22,46,44,56,23,56,37,55,21,17,55,37,46,21,56,39,73,19,71,18,22,68,24,69,20,71,55,37,44,46,45,48,57,38,24,39,42,67,55,38,22,46,48,38,68,21,69,23,57,23,65,37,55,21,24,45,48,39,48,19,72,17,55,18,24,48,47,44,22,18,44,47,46,22,57,19,46,37,21,48,24,39,20,21,56,23,56,21,46,38,48,38,47,37,45,39,22,21,48,23,46,37,46,18,56,17,44,38,22,37,44,21,45,23,22,47,22,21,48,23,23,46,47,39,44,37,22,44,20,46,24,38,24,47,47,23,57,22,20,37,20,38,22,37,24,23,21,39,23,23,24,38,46,21,20,47,24,38,47,23,23,48,21,23,24,22,24,19,47,21,1.0
37,18,52,18,9,15,72,72,17,52,55,11,77,11,79,37,56,58,17,35,56,56,19,57,29,55,18,15,55,35,35,18,54,36,76,16,75,16,15,73,15,74,10,78,58,32,34,57,35,57,56,32,16,36,33,70,52,35,15,57,37,32,73,18,74,17,58,17,71,29,58,18,17,57,37,36,37,16,76,15,58,16,16,58,36,55,15,16,33,57,35,17,59,16,35,35,12,59,17,36,11,18,59,17,57,18,35,35,37,35,36,35,35,36,15,18,37,17,35,32,35,16,59,15,33,35,15,35,34,18,35,19,15,57,15,18,37,19,15,57,36,36,34,35,15,56,11,57,17,35,15,58,36,19,57,18,11,35,10,35,15,35,16,19,12,36,16,19,17,32,35,18,10,58,15,35,36,17,16,57,12,19,17,18,17,16,36,18,1.0
29,14,42,14,16,18,73,77,14,40,59,17,75,17,76,28,62,47,14,26,61,44,15,48,40,43,13,11,43,44,27,13,44,46,81,13,79,12,18,74,19,75,16,76,47,41,23,65,24,67,47,42,19,47,22,73,42,46,18,65,29,42,78,13,79,13,49,15,77,39,47,13,19,62,29,47,29,13,80,11,47,12,19,67,28,62,18,12,24,66,27,14,49,13,27,45,17,67,19,47,17,13,48,13,48,13,26,46,28,46,28,44,24,47,18,13,29,15,27,41,27,12,48,11,24,46,18,45,23,13,24,15,18,66,18,13,29,15,18,65,28,46,23,45,18,61,17,65,19,46,19,66,28,15,47,14,17,45,16,46,18,45,19,15,17,47,18,15,19,42,27,13,16,66,19,46,28,13,18,67,17,15,19,14,19,13,28,13,1.0
47,16,53,17,13,17,73,75,16,52,47,14,76,15,78,47,48,55,17,45,47,55,18,56,33,54,16,14,53,36,45,16,55,38,78,15,76,14,16,74,18,75,13,77,54,34,45,47,46,49,58,35,18,38,45,72,53,37,16,47,47,35,74,15,75,18,58,18,73,33,55,15,18,48,47,38,47,15,77,15,56,14,18,49,46,47,16,14,45,48,45,17,58,15,45,36,15,49,18,38,14,16,56,18,57,15,45,37,47,37,46,36,46,38,16,16,47,18,45,34,45,14,57,15,45,37,16,36,45,16,46,18,16,48,16,16,47,18,17,47,46,38,45,36,16,47,14,47,18,37,18,48,46,18,58,16,14,36,13,37,16,36,18,18,15,38,17,18,18,35,45,15,13,48,18,37,46,18,17,49,15,18,18,17,18,15,46,16,1.0
37,24,53,25,30,31,62,66,24,52,57,30,62,31,64,37,58,57,25,35,57,55,26,57,30,54,25,23,54,35,35,25,55,36,69,24,68,23,30,62,32,63,30,63,57,31,35,57,36,59,59,31,32,36,35,62,53,35,30,57,37,31,67,23,68,25,59,25,66,28,57,24,32,58,37,36,37,24,69,23,58,24,32,59,36,57,30,24,35,58,35,25,59,24,35,35,31,59,32,36,30,25,58,26,58,24,35,35,37,35,36,35,36,36,30,25,37,25,35,31,35,24,59,23,35,35,30,35,35,25,36,26,30,58,30,25,37,26,31,57,36,36,35,35,30,57,30,57,32,35,32,58,36,26,59,24,30,35,30,35,30,35,32,26,31,36,31,26,32,31,35,24,30,58,32,35,36,26,31,59,31,26,32,25,32,24,36,25,1.0
36,18,38,18,20,23,66,69,18,37,57,21,69,22,70,35,58,40,18,33,57,38,19,40,51,38,17,11,38,52,34,17,38,54,77,15,75,14,22,67,24,68,20,70,40,51,33,57,34,59,41,52,24,54,33,66,38,53,22,57,36,52,72,17,73,19,41,19,69,50,40,17,24,58,35,54,36,15,76,11,40,14,24,59,34,57,24,14,33,58,35,18,41,15,34,52,22,59,24,54,22,17,40,19,40,17,34,53,36,53,35,52,34,54,23,17,36,19,35,51,35,14,40,11,34,53,23,52,34,17,34,19,22,58,23,17,35,19,23,57,34,54,34,52,22,57,21,58,25,53,24,58,34,19,41,18,22,53,21,54,23,52,24,19,22,54,23,19,25,52,35,17,20,59,25,53,35,19,23,59,22,19,25,18,25,15,35,17,1.0
30,23,52,23,20,21,72,64,22,52,62,20,72,21,74,30,64,55,22,28,63,54,24,55,34,53,22,15,53,37,28,22,54,39,72,19,70,18,20,72,22,73,20,73,55,35,27,64,28,66,55,36,22,39,26,72,52,38,20,64,30,36,66,22,67,22,56,23,63,33,55,22,22,64,30,39,30,19,71,16,55,18,22,66,29,62,20,18,26,65,28,22,57,19,28,37,21,66,22,39,20,22,56,23,55,22,28,38,30,38,29,37,28,39,20,22,30,23,28,35,28,18,56,16,26,38,20,37,27,22,28,24,20,65,20,22,30,24,21,64,29,39,27,37,20,63,20,64,22,38,22,65,29,24,56,23,20,37,20,38,20,37,22,24,21,39,21,24,22,36,28,22,20,65,22,38,29,23,21,66,21,24,22,23,22,19,29,22,1.0
39,13,50,12,6,13,71,77,12,50,46,7,78,8,79,38,49,55,12,36,47,54,13,56,30,53,13,5,53,34,38,13,53,36,81,7,80,7,11,71,13,72,8,79,55,33,32,50,32,53,56,33,15,38,28,66,50,36,13,52,38,34,74,12,75,13,57,13,73,30,56,13,15,49,38,37,40,7,81,10,56,7,15,56,38,48,15,7,32,53,38,12,58,7,38,35,8,56,15,37,8,13,57,13,56,12,36,36,38,37,38,34,32,37,13,13,39,13,38,33,38,7,57,10,32,37,13,36,32,13,33,13,12,55,15,13,39,13,15,51,38,36,32,35,14,48,8,54,15,37,13,53,39,13,57,12,8,36,8,37,15,36,16,14,8,38,13,13,15,34,38,13,8,55,13,37,39,13,13,53,8,14,15,13,16,7,38,13,1.0
49,28,51,28,28,36,52,61,28,50,45,31,57,32,59,49,46,51,28,47,45,51,29,52,41,50,28,24,50,41,47,28,51,43,66,26,65,26,35,53,37,54,30,58,51,40,47,45,48,47,53,41,37,43,47,51,51,42,35,45,49,41,63,28,64,29,53,29,61,40,51,28,37,46,49,43,49,26,66,24,51,26,37,47,48,45,35,26,47,46,47,28,53,26,47,41,32,47,37,43,31,28,52,29,52,28,47,42,49,42,48,41,48,43,35,28,49,29,47,40,47,26,52,24,47,42,35,41,47,28,48,29,35,46,35,28,49,29,36,45,48,43,47,41,35,45,31,45,37,42,37,46,48,29,53,28,31,41,30,42,35,41,37,29,32,43,36,29,37,41,47,28,30,46,37,42,48,29,36,47,32,29,37,28,37,26,48,28,1.0
36,24,44,24,29,30,63,65,24,44,58,29,63,30,65,35,59,46,24,34,58,46,25,48,42,45,23,19,45,45,34,23,46,46,71,22,69,21,29,63,31,64,29,64,46,43,34,58,35,60,49,44,31,47,34,63,44,46,29,58,36,44,67,22,68,25,49,25,65,41,47,23,31,59,36,47,36,22,70,19,47,21,31,60,35,58,29,21,34,59,34,24,49,22,34,45,30,60,31,47,29,23,48,25,48,22,34,46,35,46,35,45,35,47,29,23,36,25,34,43,34,21,48,19,34,46,29,45,34,23,35,25,29,59,29,23,36,25,30,58,35,46,34,45,29,58,29,58,31,46,31,59,35,25,49,24,29,45,29,46,29,45,31,25,30,47,30,25,31,44,34,23,29,59,31,46,35,25,30,60,30,25,31,24,31,22,35,23,1.0
32,23,49,23,20,23,68,67,23,48,60,21,70,22,72,32,61,52,23,30,60,51,24,53,37,50,22,17,50,40,30,22,51,42,72,20,70,19,22,69,24,70,20,71,52,38,28,62,29,64,54,39,24,42,28,68,49,41,22,62,32,39,67,22,68,24,54,24,66,37,52,22,24,61,32,42,32,20,71,19,52,19,24,64,31,62,22,19,30,63,30,23,54,20,30,40,22,64,24,42,21,22,53,24,53,22,30,41,32,41,31,40,29,42,22,22,32,24,30,38,30,19,53,19,30,41,22,40,28,22,29,24,22,63,22,22,32,24,23,62,31,42,28,40,22,60,21,62,24,41,24,63,31,24,54,23,21,40,20,41,22,40,24,24,22,42,23,24,24,39,30,22,20,63,24,41,31,24,23,64,22,24,24,23,24,20,31,22,0.0
43,22,44,22,23,34,54,69,22,44,51,27,59,28,61,43,52,47,22,41,51,46,23,49,40,45,22,20,45,44,41,22,46,46,72,21,71,21,33,53,34,54,28,60,47,41,41,51,42,52,50,42,35,46,41,52,44,45,33,51,43,42,70,21,71,23,50,23,69,38,48,22,35,52,43,46,43,21,72,20,48,21,35,53,42,51,33,21,41,52,41,22,50,21,41,44,28,53,35,46,27,22,49,23,49,21,41,45,43,45,42,44,42,46,33,22,43,23,41,41,41,21,49,20,41,45,33,44,41,22,42,23,33,52,33,22,43,23,34,51,42,46,41,44,33,51,27,51,35,45,34,52,42,23,50,22,27,44,28,45,33,44,35,23,28,46,34,23,35,42,41,22,28,52,34,45,42,23,34,52,28,23,35,22,35,21,42,22,1.0
40,24,51,24,17,23,67,65,24,50,50,19,70,19,71,40,53,53,24,37,52,52,25,53,38,51,24,20,51,38,37,24,52,41,70,22,69,22,23,66,23,67,20,71,53,37,36,54,37,55,54,38,24,41,36,65,51,39,23,54,40,38,67,24,68,24,54,24,65,37,53,24,24,53,40,41,40,22,70,20,53,22,24,56,38,52,23,22,36,55,38,24,54,22,37,39,19,56,24,41,19,24,54,25,53,24,37,40,40,39,39,39,37,41,23,24,40,24,38,38,38,22,54,20,36,40,23,40,36,24,37,25,23,55,23,24,40,25,23,54,38,41,36,40,23,52,19,54,24,39,23,55,38,25,54,24,19,40,20,40,23,39,24,25,19,41,23,25,24,38,38,24,20,55,23,40,39,25,23,55,19,25,24,24,24,22,39,24,0.0
37,14,44,14,21,25,64,76,14,43,55,23,68,23,69,37,56,45,14,36,56,45,15,46,46,44,14,11,44,47,36,14,45,49,80,12,79,12,24,66,25,67,21,69,45,46,35,56,35,57,47,47,25,49,34,64,44,48,25,57,37,47,77,14,78,15,47,15,75,46,45,14,26,57,37,49,37,12,80,11,45,12,25,58,36,55,25,12,34,57,36,14,47,12,36,47,23,58,26,49,23,14,46,15,46,14,36,48,37,48,36,47,35,49,25,14,37,15,36,46,36,12,46,11,34,48,25,47,35,14,35,15,24,57,25,14,37,15,25,56,36,49,35,47,25,56,23,57,26,48,25,58,36,15,47,14,23,47,21,48,25,47,25,15,23,49,25,15,26,47,36,14,21,58,25,48,36,15,25,57,23,15,26,14,26,12,36,14,1.0
33,6,46,6,16,18,73,83,6,46,54,17,75,17,76,32,57,51,6,32,57,48,7,52,36,47,6,2,47,41,32,6,48,42,88,3,87,3,18,74,18,75,16,76,51,37,28,61,28,61,52,38,18,43,24,73,46,42,18,61,33,38,84,6,85,6,53,7,81,33,51,6,19,58,33,43,33,3,88,2,51,3,18,62,32,54,18,3,25,61,32,6,53,3,32,41,17,62,19,43,17,6,52,6,52,6,32,42,32,42,32,41,28,43,18,6,33,7,32,37,32,3,52,2,25,42,18,41,28,6,28,7,18,61,18,6,33,7,18,61,32,42,28,41,18,57,17,61,19,42,18,62,32,7,52,6,17,41,16,42,18,41,18,7,17,43,18,7,19,38,32,6,16,62,18,42,32,6,18,61,17,7,19,6,19,3,32,6,1.0
39,18,49,19,11,21,67,66,16,48,53,15,73,15,73,39,54,55,17,38,54,52,19,54,29,52,19,8,51,36,39,19,51,37,75,11,75,12,21,67,21,67,15,73,55,32,38,55,38,55,54,32,21,37,37,65,49,37,21,55,39,32,69,17,69,15,55,17,65,28,56,18,21,54,39,37,39,13,75,10,57,13,21,55,39,53,21,13,37,55,39,17,57,13,39,37,15,55,21,37,15,19,56,16,55,17,38,37,39,37,39,36,38,37,21,19,39,17,39,32,39,13,57,10,37,37,21,37,38,19,38,19,21,55,21,19,39,19,21,55,39,37,38,37,21,54,15,55,21,37,21,55,39,19,54,18,15,37,15,37,21,37,21,19,15,37,21,19,21,32,39,18,15,55,21,37,39,16,21,55,15,19,21,19,21,13,39,19,1.0
35,21,52,21,9,9,81,70,21,50,52,9,83,9,83,34,54,56,21,33,53,54,21,57,33,53,21,17,53,36,34,21,54,37,73,19,73,19,9,82,10,82,9,83,56,34,29,57,29,59,56,34,11,37,26,81,52,37,10,58,35,34,71,21,71,20,57,21,70,33,56,21,10,54,35,37,35,19,73,18,56,19,10,59,34,54,11,19,29,58,34,21,57,19,34,36,9,60,11,37,10,21,57,20,57,21,33,37,34,37,34,36,30,37,10,21,35,21,34,34,34,19,57,18,29,37,10,37,29,21,30,21,9,59,11,21,35,21,10,57,35,37,29,36,10,54,10,59,10,37,10,58,35,21,56,21,10,37,9,37,11,37,11,21,10,38,10,21,11,34,34,21,9,59,10,37,35,20,9,59,10,21,10,21,11,19,34,21,1.0
32,18,40,18,24,25,68,70,18,40,60,24,68,25,70,32,62,46,18,30,61,44,19,47,40,43,17,10,43,46,30,17,44,48,77,14,75,13,24,68,26,69,24,69,46,43,29,62,30,64,48,44,26,48,28,68,40,47,24,62,32,44,71,17,72,19,48,19,69,40,46,17,26,62,32,48,32,14,76,12,46,13,26,64,31,60,24,13,28,63,30,18,48,14,30,46,25,64,26,48,24,17,47,19,47,17,30,47,32,47,31,46,30,48,24,17,32,19,30,43,30,13,47,12,28,47,24,46,29,17,30,19,24,63,24,17,32,19,25,62,31,48,29,46,24,61,24,62,26,47,26,63,31,19,48,18,24,46,24,47,24,46,26,19,25,48,25,19,26,44,30,17,24,63,26,47,31,19,25,64,25,19,26,18,26,14,31,17,1.0
42,16,49,16,20,26,61,71,16,49,50,23,67,23,68,42,51,49,16,40,50,50,17,50,43,49,16,9,49,43,40,16,50,45,78,12,77,12,26,64,26,65,20,68,49,43,38,52,39,53,51,44,27,45,37,61,49,44,26,52,42,44,73,16,74,17,51,17,70,43,49,16,27,51,42,45,42,12,78,10,49,12,27,54,41,51,26,12,39,53,40,16,51,12,40,43,23,54,27,45,23,16,50,17,50,16,40,44,42,44,41,43,39,45,26,16,42,17,40,43,40,12,50,10,39,44,26,43,38,16,39,17,26,53,26,16,42,17,26,52,41,45,38,43,26,50,23,52,27,44,26,53,41,17,51,16,23,43,20,44,26,43,27,17,23,45,26,17,27,44,40,16,20,53,26,44,41,17,26,53,23,17,27,16,27,12,41,16,1.0
38,11,50,13,4,9,80,77,11,48,41,5,84,5,85,36,47,59,13,32,47,54,13,59,21,53,12,10,52,26,37,13,53,30,81,11,80,10,8,80,7,81,5,85,58,23,28,55,29,54,61,24,9,33,23,77,50,30,9,56,38,24,78,10,79,13,62,13,76,18,59,11,10,47,37,31,38,11,81,10,61,11,9,56,35,44,9,11,26,55,37,13,62,11,36,31,5,56,10,31,5,13,60,13,61,11,32,31,37,31,36,26,29,33,9,13,38,13,37,24,38,11,62,10,26,32,9,32,29,13,29,14,8,55,9,13,37,13,9,55,36,32,29,32,9,47,5,56,10,31,8,56,37,14,61,11,5,32,5,32,9,31,9,14,5,33,9,14,10,24,38,11,5,56,8,32,38,13,9,54,5,14,10,13,10,11,36,12,1.0
32,15,43,15,22,24,68,72,15,43,60,23,69,23,70,32,62,48,15,28,61,46,16,49,39,45,14,8,45,42,29,14,46,46,80,12,78,11,24,68,25,69,23,70,48,40,28,62,30,64,50,42,25,46,28,68,43,44,24,62,32,42,75,14,76,16,50,16,72,38,48,14,25,62,32,46,32,12,79,8,48,11,25,64,30,60,24,11,28,63,30,15,50,12,29,43,23,64,25,46,23,14,49,16,49,14,28,45,32,44,31,42,30,46,24,14,32,16,30,41,30,11,49,8,28,45,24,44,29,14,30,16,24,63,24,14,32,16,24,62,30,46,29,44,24,61,23,62,25,44,25,63,30,16,50,15,23,44,23,45,24,43,25,16,23,46,24,16,25,42,30,14,23,63,25,45,31,16,24,64,23,16,25,15,25,12,31,14,0.0
39,21,42,21,22,27,63,68,21,42,55,24,66,25,68,39,56,48,21,37,55,45,22,48,39,44,21,17,44,45,37,21,45,46,73,19,72,19,26,64,28,65,23,67,48,41,37,55,38,57,48,41,28,46,37,63,42,45,26,55,39,41,70,21,71,20,49,21,68,37,48,21,28,56,39,46,39,19,73,17,48,19,28,57,38,55,26,19,37,56,37,21,49,19,37,45,25,57,28,46,24,21,49,21,48,21,37,45,39,45,38,45,38,46,26,21,39,21,37,41,37,19,49,17,37,45,26,45,37,21,38,22,26,56,26,21,39,22,27,55,38,46,37,45,26,55,24,55,28,45,28,56,38,22,48,21,24,45,23,45,26,45,28,22,25,46,27,22,28,41,37,21,23,56,28,45,38,21,27,57,25,22,28,21,28,19,38,21,0.0
