@relation 'Sax dominant'

@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMdh numeric
@attribute o1atLdh numeric
@attribute o1atMfk numeric
@attribute o1atLfk numeric
@attribute o1atMkg numeric
@attribute o1atLkg numeric
@attribute o1atMgc numeric
@attribute o1atLgc numeric
@attribute o1atMif numeric
@attribute o1atLif numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMgk numeric
@attribute o1atLgk numeric
@attribute o1atMcj numeric
@attribute o1atLcj numeric
@attribute o1atMhe numeric
@attribute o1atLhe numeric
@attribute o1atMjh numeric
@attribute o1atLjh numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMbf numeric
@attribute o1atLbf numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMfc numeric
@attribute o1atLfc numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atMaa numeric
@attribute o1atLkk numeric
@attribute o1atMik numeric
@attribute o1atLik numeric
@attribute o1atMek numeric
@attribute o1atLek numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMki numeric
@attribute o1atLki numeric
@attribute o1atMjg numeric
@attribute o1atLjg numeric
@attribute o1atMhj numeric
@attribute o1atLhj numeric
@attribute o1atMia numeric
@attribute o1atLia numeric
@attribute o1atMid numeric
@attribute o1atLid numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMei numeric
@attribute o1atLei numeric
@attribute o1atMaf numeric
@attribute o1atLaf numeric
@attribute o1atMje numeric
@attribute o1atLje numeric
@attribute o1atMjf numeric
@attribute o1atLjf numeric
@attribute o1atMfj numeric
@attribute o1atLfj numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMch numeric
@attribute o1atLch numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMgd numeric
@attribute o1atLgd numeric
@attribute o1atMgj numeric
@attribute o1atLgj numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMcg numeric
@attribute o1atLcg numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMie numeric
@attribute o1atLie numeric
@attribute o1atMej numeric
@attribute o1atLej numeric
@attribute o1atMjd numeric
@attribute o1atLjd numeric
@attribute o1atMdk numeric
@attribute o1atLdk numeric
@attribute o1atMke numeric
@attribute o1atLke numeric
@attribute o1atMci numeric
@attribute o1atLci numeric
@attribute o1atMbh numeric
@attribute o1atLbh numeric
@attribute o1atMag numeric
@attribute o1atLag numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMib numeric
@attribute o1atLib numeric
@attribute o1atMai numeric
@attribute o1atLai numeric
@attribute o1atMgb numeric
@attribute o1atLgb numeric
@attribute o1atMkh numeric
@attribute o1atLkh numeric
@attribute o1atMck numeric
@attribute o1atLck numeric
@attribute o1atMah numeric
@attribute o1atLah numeric
@attribute o1atMfb numeric
@attribute o1atLfb numeric
@attribute o1atMbg numeric
@attribute o1atLbg numeric
@attribute o1atMbk numeric
@attribute o1atLbk numeric
@attribute o1atMhc numeric
@attribute o1atLhc numeric
@attribute o1atMhd numeric
@attribute o1atLhd numeric
@attribute o1atMdj numeric
@attribute o1atLdj numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute o1atMbj numeric
@attribute o1atLbj numeric
@attribute o1atMkf numeric
@attribute o1atLkf numeric
@attribute destClass {0.0,1.0}

@data
47,48,31,66,20,83,59,41,35,60,22,73,47,47,60,34,48,43,35,43,49,0,52,0,26,46,48,34,48,46,34,60,21,73,44,57,24,72,51,45,62,33,26,69,46,50,65,30,52,41,27,61,52,34,11,69,53,0,27,31,45,42,60,30,48,42,34,49,52,42,26,68,64,29,45,49,10,84,95,28,35,50,22,50,59,34,10,85,46,47,26,49,95,0,95,0,9,0,65,0,46,0,21,68,21,60,26,60,64,0,52,30,61,30,10,34,34,34,46,43,46,35,11,50,45,30,48,30,49,31,45,46,27,50,27,43,61,0,11,74,22,69,35,47,48,35,34,46,53,30,22,61,52,34,27,47,11,61,45,34,46,31,34,30,35,0,45,0,27,35,22,43,11,47,10,73,21,34,11,35,21,46,60,0,27,0,11,43,21,49,22,47,22,0,26,42,34,42,35,31,10,68,10,60,22,31,48,0,0.0
47,41,38,54,21,94,55,34,39,53,26,69,48,40,57,32,50,36,41,38,52,5,56,5,38,43,50,32,49,40,38,53,25,69,43,52,36,65,52,39,60,29,37,57,45,45,67,24,54,35,37,55,54,33,1,57,57,5,39,28,46,37,59,25,49,36,38,45,53,36,37,56,65,25,45,44,0,94,86,20,39,45,26,47,58,31,0,95,46,42,37,46,90,4,90,3,0,1,68,4,49,5,25,56,25,54,37,54,67,4,55,26,60,25,0,34,39,34,47,38,47,35,1,47,48,26,51,26,52,26,46,41,37,47,39,39,61,5,1,70,26,57,40,42,50,33,39,42,57,26,26,55,54,32,38,44,1,55,47,33,49,28,40,27,41,5,48,5,39,35,26,39,1,44,0,69,25,34,1,35,25,43,60,4,39,5,1,39,25,46,26,44,26,5,38,38,39,38,41,28,0,56,0,54,26,28,51,5,0.0
48,40,24,67,0,94,72,22,28,59,4,89,50,34,77,13,53,28,30,30,57,0,64,0,19,38,55,13,51,33,28,60,3,89,36,56,11,84,56,30,86,10,15,74,41,46,87,5,61,24,18,63,63,13,0,76,65,0,20,7,42,29,77,4,53,27,29,49,60,25,16,73,87,4,40,46,0,94,92,4,30,48,6,49,76,12,0,95,43,37,19,49,94,0,93,0,0,0,89,0,46,1,4,75,5,63,19,62,88,0,63,5,77,5,0,16,31,16,43,29,44,15,1,50,44,6,55,5,55,5,42,36,19,49,19,31,79,0,0,90,5,75,30,38,55,14,30,38,63,5,5,63,62,13,19,39,0,64,44,15,44,6,31,6,32,2,45,1,20,17,6,31,1,39,0,89,5,16,1,17,5,38,78,0,20,2,1,31,5,49,6,39,6,2,19,30,30,30,31,7,0,75,0,63,6,7,56,0,0.0
30,65,28,66,25,76,45,50,29,66,26,69,33,61,53,38,34,55,29,55,34,1,40,0,27,61,32,39,32,61,28,66,25,68,29,66,26,67,36,58,86,29,27,67,29,66,89,3,39,54,28,67,40,40,16,68,41,1,28,6,29,54,55,4,32,54,28,65,39,53,27,66,89,4,29,65,15,79,94,2,29,66,27,66,54,38,16,80,30,62,27,65,95,0,94,0,12,0,90,0,30,1,26,67,26,66,27,66,89,0,40,4,55,5,15,39,28,39,30,55,30,40,16,66,29,5,33,5,34,6,29,61,28,66,28,55,56,1,16,69,27,68,29,62,34,40,28,61,41,6,27,67,39,38,28,62,16,67,29,39,30,6,28,5,29,1,29,0,28,40,27,55,16,62,15,68,26,39,16,40,26,61,55,0,28,1,16,55,26,65,27,62,27,1,27,54,28,54,29,6,15,67,15,66,27,6,33,0,1.0
40,57,30,65,20,92,60,31,31,63,22,73,43,50,63,30,44,36,32,36,44,1,58,0,28,51,43,31,43,51,31,62,22,72,33,62,27,70,53,48,86,28,28,66,34,59,89,5,57,36,28,63,58,32,2,67,59,1,29,6,35,36,63,4,43,36,31,59,56,36,27,66,89,4,35,59,2,93,94,2,31,59,22,60,62,29,2,93,35,51,28,59,95,0,94,0,1,0,90,0,36,1,22,66,22,63,28,63,89,0,58,5,63,5,2,31,31,31,36,36,36,32,2,60,35,5,43,5,44,6,35,51,28,59,29,36,64,0,2,73,22,67,31,51,44,32,31,51,58,6,22,64,57,31,28,51,2,64,35,31,36,6,31,5,32,1,35,0,29,32,23,37,2,52,2,72,22,31,2,32,22,51,63,0,29,1,2,37,22,59,22,52,23,1,28,36,31,36,32,6,2,66,2,63,23,6,43,0,1.0
29,66,27,67,25,79,60,47,28,67,26,70,30,66,65,31,30,54,28,54,30,1,41,0,27,65,29,30,29,65,27,67,25,69,28,67,27,69,35,65,87,26,27,68,29,67,89,6,42,54,28,68,42,31,13,68,42,1,28,6,28,53,64,5,29,53,27,66,40,53,27,67,89,5,28,66,12,82,94,3,28,67,26,67,64,29,13,83,29,66,27,66,95,0,94,0,9,0,90,1,29,1,25,67,25,67,27,67,89,0,41,5,65,6,12,30,27,30,29,54,29,31,13,67,28,5,29,5,30,6,28,65,28,67,28,54,65,1,13,70,26,68,28,66,30,31,27,65,42,6,26,68,41,30,28,66,13,68,28,30,29,6,27,5,28,1,28,0,28,31,26,54,13,66,12,69,25,30,13,31,25,65,64,0,28,1,13,54,25,66,26,66,26,1,27,53,27,53,28,6,12,67,12,67,26,6,29,0,1.0
43,50,32,59,17,88,58,40,34,58,23,71,46,48,62,31,46,43,36,43,46,1,52,0,32,49,45,30,45,48,35,57,22,71,40,56,29,65,50,47,70,24,31,62,41,51,78,14,53,43,32,59,53,31,3,63,53,1,33,17,42,42,64,16,45,42,35,52,51,42,30,61,78,14,41,52,3,91,94,8,35,52,23,52,62,29,3,92,43,49,32,52,95,0,94,0,0,0,79,0,43,1,22,62,23,59,32,58,78,0,52,16,64,17,3,30,35,30,43,43,43,31,3,53,42,16,45,16,46,17,42,49,32,52,33,43,65,1,3,72,23,62,36,49,46,31,35,49,53,17,23,59,52,30,33,49,3,60,42,30,43,17,35,16,36,1,42,0,33,31,24,43,4,50,3,71,23,30,4,31,23,49,64,0,33,1,4,43,23,52,24,49,24,1,32,42,35,42,36,17,3,62,3,59,24,17,45,0,0.0
46,48,32,67,21,85,64,30,36,60,22,74,49,45,65,28,50,33,36,33,50,6,62,6,27,45,49,29,48,45,34,59,21,73,40,56,27,73,60,42,66,28,28,68,43,52,68,27,61,32,28,60,62,30,8,68,63,6,28,28,43,32,65,27,49,32,35,51,62,31,27,67,67,26,43,50,7,87,85,26,36,52,22,52,64,29,8,88,44,46,27,51,89,6,89,6,5,2,68,6,44,6,21,67,21,59,27,59,67,6,62,27,66,27,7,29,35,29,44,33,44,30,8,52,43,27,49,27,50,28,43,45,28,52,28,33,66,6,8,74,22,68,36,46,50,30,35,45,63,28,22,60,62,29,28,46,8,60,43,29,44,28,35,27,36,6,43,6,28,30,22,33,8,46,7,73,21,29,8,30,21,45,65,6,28,6,8,33,21,51,22,46,22,6,27,32,35,32,36,28,7,67,7,59,22,28,49,6,0.0
32,65,28,66,22,78,63,46,29,66,23,73,33,63,71,23,33,50,29,50,33,2,45,1,28,62,32,23,32,62,28,66,22,72,29,66,28,72,42,62,89,15,28,67,30,66,90,3,45,50,29,67,46,24,15,67,46,2,29,4,29,49,71,3,32,49,28,65,45,49,28,66,91,3,29,65,14,80,92,1,29,66,23,66,71,23,15,81,30,63,28,65,94,0,93,1,12,0,92,1,30,2,22,66,22,66,28,66,91,1,45,3,71,4,14,23,28,23,30,50,30,24,15,66,29,3,32,3,33,4,29,62,29,66,29,50,72,2,15,73,23,67,29,63,33,24,28,62,46,4,23,67,45,23,29,63,15,67,29,23,30,4,28,3,29,2,29,1,29,24,23,50,15,63,14,72,22,23,15,24,22,62,71,1,29,2,15,50,22,65,23,63,23,2,28,49,28,49,29,4,14,66,14,66,23,4,32,1,1.0
48,50,36,58,20,92,64,31,38,57,23,71,51,45,65,29,51,34,38,34,51,4,61,3,34,44,50,29,50,44,37,56,23,71,40,56,32,68,59,42,69,28,34,60,43,53,71,23,61,34,35,58,61,30,2,61,62,4,35,24,42,33,65,23,50,33,37,52,61,33,33,60,71,23,42,52,1,93,90,21,38,53,24,53,65,29,1,94,43,45,34,52,92,3,91,3,0,2,72,3,43,4,23,60,23,57,34,57,71,3,61,23,65,23,1,29,37,29,43,34,43,30,2,53,42,23,50,23,51,24,42,44,35,53,35,34,66,3,1,72,24,60,38,45,51,30,37,44,61,24,24,58,61,29,35,45,2,58,42,29,43,24,37,23,38,4,42,3,35,30,24,34,2,45,1,71,23,29,2,30,23,44,65,3,35,4,2,34,23,52,24,45,24,4,34,33,37,33,38,24,1,60,1,57,24,24,50,3,0.0
59,34,37,56,14,94,63,30,42,49,17,78,60,33,64,30,60,31,44,32,61,8,63,8,31,34,60,30,60,33,42,48,17,77,50,43,24,74,62,33,65,29,30,63,54,37,66,28,63,31,31,51,63,30,1,64,64,8,32,29,55,31,64,28,60,31,44,39,62,31,29,63,65,28,54,37,0,94,83,27,44,39,18,40,64,29,1,95,55,34,31,39,87,8,86,7,0,5,67,8,56,8,17,63,17,50,31,50,66,8,63,28,64,28,0,30,44,30,55,31,55,30,1,40,55,28,60,28,60,28,55,34,32,40,32,32,65,8,1,78,18,64,44,35,60,30,44,34,63,28,18,51,63,30,32,35,1,51,55,30,55,28,44,28,45,9,55,8,32,31,18,32,1,35,0,77,17,30,1,31,17,34,64,8,32,9,1,32,17,39,18,35,18,9,31,31,44,31,44,29,0,63,0,50,18,29,60,8,0.0
54,39,41,54,7,94,60,35,45,49,15,80,55,38,61,33,56,36,46,37,57,11,58,11,37,38,56,33,55,36,45,47,14,80,51,45,34,73,57,36,67,32,37,58,53,41,69,25,58,35,38,50,58,33,1,58,59,11,38,26,53,36,61,25,56,35,45,41,58,35,35,57,69,25,51,41,0,94,81,23,46,42,15,42,61,33,0,95,53,39,37,41,84,11,83,11,0,9,70,11,54,12,14,57,14,49,37,49,69,11,58,25,61,25,0,33,45,33,53,37,53,34,1,42,53,25,56,25,56,25,52,38,38,42,38,37,62,11,1,81,15,58,46,39,56,33,45,38,58,25,15,50,58,33,38,39,1,50,53,33,53,26,45,25,46,12,53,11,38,34,15,37,1,39,0,80,14,33,1,34,14,38,61,11,38,12,1,37,14,41,15,39,15,12,37,36,45,36,46,26,0,57,0,49,15,26,56,11,0.0
58,41,35,65,20,92,65,28,39,56,22,74,61,33,67,27,61,30,40,30,62,16,65,16,28,33,61,28,61,33,38,55,21,73,47,51,27,72,64,30,68,27,29,67,50,44,69,26,64,29,29,56,66,28,2,67,66,16,29,26,50,29,66,26,61,29,39,44,65,29,28,66,69,25,50,43,1,93,76,25,39,45,22,45,65,28,2,94,51,33,28,44,79,16,79,16,0,13,69,16,51,16,21,66,21,55,28,55,69,16,65,26,67,26,1,28,39,28,51,30,51,29,2,45,50,26,61,26,62,26,50,33,29,45,29,30,67,16,2,74,22,67,40,34,62,29,39,33,66,26,22,56,65,28,29,34,2,56,50,28,51,26,39,26,40,16,50,16,29,29,22,30,2,34,1,73,21,28,2,29,21,33,66,16,29,16,2,30,21,44,22,34,22,16,28,29,39,29,40,26,1,66,1,55,22,26,61,16,0.0
35,62,28,70,22,76,57,39,28,67,23,73,39,57,58,36,39,42,29,42,39,1,53,0,24,56,38,36,38,56,28,66,22,72,30,66,24,72,51,53,74,35,25,71,32,63,78,16,53,42,25,67,53,37,18,71,54,1,25,17,31,41,58,16,38,41,28,63,53,41,24,70,78,16,31,63,17,77,94,12,29,64,23,64,58,36,18,78,32,57,24,63,95,0,94,0,16,0,79,0,32,1,22,70,22,66,24,66,78,0,53,16,58,16,17,36,28,36,32,42,32,37,18,64,31,16,38,16,39,17,31,56,25,64,25,42,59,0,18,73,23,71,29,57,39,37,28,56,53,17,23,67,53,36,25,57,18,67,31,36,32,17,28,16,29,1,31,0,25,37,23,42,18,57,17,72,22,36,18,37,22,56,58,0,25,1,18,42,22,63,23,57,23,1,24,41,28,41,29,17,17,70,17,66,23,17,38,0,1.0
51,52,32,66,8,88,59,37,35,61,12,82,53,42,62,33,54,39,35,39,54,3,56,2,24,41,53,32,52,40,34,60,10,82,38,58,20,78,55,39,71,29,25,70,41,55,75,18,57,38,25,61,57,33,5,71,57,3,25,19,40,38,62,18,53,37,34,54,56,37,24,68,76,18,39,54,4,90,91,13,35,55,13,55,62,32,4,91,41,42,24,54,93,1,92,2,2,1,77,2,41,3,12,70,12,60,24,60,76,2,56,18,62,19,4,32,34,32,41,39,41,33,5,55,40,18,53,18,54,19,39,41,25,55,25,39,63,3,5,83,13,71,35,42,54,33,34,41,57,19,13,61,56,32,25,42,5,61,40,32,41,19,34,18,35,3,40,2,25,33,13,39,5,42,4,82,12,32,5,33,12,41,62,2,25,3,5,39,12,54,13,42,13,3,24,38,34,38,35,19,4,70,4,60,13,19,53,2,1.0
45,53,37,57,20,92,62,32,38,57,25,71,48,47,64,30,48,35,38,35,49,6,60,5,35,46,48,30,48,46,37,57,24,70,39,57,33,66,58,43,69,28,35,60,41,55,71,23,60,34,36,58,60,30,2,60,61,5,36,24,40,34,64,23,48,34,37,54,59,34,35,59,71,22,40,54,1,93,87,21,38,55,25,55,63,29,2,94,41,47,35,54,90,5,89,5,0,3,72,5,41,6,24,59,24,57,35,57,71,5,60,23,64,23,1,30,37,30,41,35,41,31,2,55,40,23,48,23,48,24,40,46,36,55,36,35,65,5,2,71,25,60,38,47,48,31,37,46,60,23,25,58,60,30,36,47,2,58,40,30,41,24,37,23,38,6,40,5,36,31,25,35,2,47,1,70,24,30,2,31,24,46,64,5,36,6,2,35,24,54,25,47,25,6,35,34,37,34,38,24,1,59,1,57,25,24,48,5,1.0
44,53,41,56,28,92,47,49,41,54,30,66,45,51,51,45,45,50,42,50,45,1,45,0,38,50,44,44,44,50,41,53,29,65,41,53,38,64,45,50,74,41,39,57,42,53,78,17,46,50,39,54,46,45,2,57,46,1,39,17,41,49,50,16,44,49,41,53,45,49,38,56,78,16,41,53,1,93,94,12,42,54,30,54,50,44,2,94,42,51,38,53,95,0,94,0,0,0,79,1,42,1,29,56,29,53,38,53,78,0,45,16,51,17,1,44,41,44,42,50,42,45,2,54,41,16,44,16,45,17,41,50,39,54,39,50,51,1,2,66,30,57,42,51,45,45,41,50,46,17,30,54,45,44,39,51,2,54,41,44,42,17,41,16,42,1,41,0,39,45,30,50,2,51,1,65,29,44,2,45,29,50,50,0,39,1,2,50,29,53,30,51,30,1,38,49,41,49,42,17,1,56,1,53,30,17,44,0,1.0
55,42,38,62,21,89,60,38,42,52,22,73,56,40,64,32,56,39,43,39,56,9,56,8,28,39,55,31,55,39,42,50,21,72,50,48,24,71,56,39,73,28,28,66,52,43,75,21,57,39,29,53,57,32,4,67,57,9,29,21,51,38,63,20,55,38,42,43,56,38,26,65,74,20,51,43,3,91,84,19,43,44,23,44,63,31,4,92,52,40,28,43,87,9,86,8,1,6,75,9,52,9,22,66,22,52,28,52,74,8,56,20,64,21,3,31,42,31,52,39,52,32,4,44,51,20,55,20,56,21,51,39,29,44,29,39,64,9,4,73,23,67,43,40,56,32,42,39,57,21,23,53,56,31,29,40,4,53,51,31,52,21,42,20,43,9,51,8,29,32,23,39,4,40,3,72,22,31,4,32,22,39,63,8,29,9,4,39,22,43,23,40,23,9,28,38,42,38,43,21,3,66,3,52,23,21,55,8,1.0
49,48,34,62,8,93,68,25,35,59,10,84,52,43,69,23,52,29,36,29,52,2,66,1,28,43,51,24,51,42,35,58,11,83,40,58,24,80,63,41,75,22,28,65,43,51,77,16,65,29,28,59,65,25,2,67,67,2,29,18,43,28,70,17,51,28,35,51,65,28,27,66,77,17,42,51,1,93,92,15,36,51,12,52,70,23,2,94,44,44,28,51,94,1,93,1,1,0,78,1,44,2,11,66,11,59,28,59,77,1,66,17,70,16,1,24,35,24,44,29,44,25,2,52,43,17,51,17,52,18,43,43,29,51,29,29,71,1,2,84,11,67,36,44,52,25,35,43,66,18,11,60,66,24,29,44,2,60,43,24,44,18,35,17,36,2,43,1,29,25,12,29,2,44,1,83,11,24,2,25,11,43,70,1,29,2,2,29,11,51,12,44,12,2,28,28,35,28,36,18,1,66,1,59,12,18,51,1,1.0
39,57,21,73,15,78,70,39,25,70,17,76,43,52,73,21,43,43,25,43,43,1,52,0,20,52,42,21,42,52,23,70,17,76,35,67,19,75,49,49,79,18,20,74,36,59,81,14,52,43,21,70,53,22,14,75,53,1,21,15,36,42,73,14,42,42,24,58,52,42,20,74,80,14,36,57,13,80,94,13,25,59,18,59,73,21,13,81,37,53,20,58,95,1,94,0,12,0,81,1,37,1,17,74,17,70,20,70,80,0,52,14,74,15,14,21,24,21,37,43,37,22,15,59,36,14,42,14,43,15,36,52,21,59,21,43,74,1,14,78,17,74,25,53,43,22,24,52,53,15,18,70,52,21,21,53,15,71,36,21,37,15,24,14,25,1,36,0,21,22,18,43,15,53,14,77,17,21,15,22,17,52,73,0,21,1,15,43,17,58,18,53,18,1,20,42,24,42,25,15,14,74,14,70,18,15,42,0,1.0
51,43,36,63,10,91,62,33,41,53,13,83,54,41,66,30,54,35,41,35,54,6,60,5,27,41,53,29,53,40,40,52,12,82,49,50,23,80,59,39,80,26,26,68,50,45,81,15,61,35,28,55,61,30,3,68,61,6,28,15,50,34,65,14,53,34,40,44,59,34,25,67,80,14,49,44,2,92,88,14,41,45,13,45,65,28,3,93,51,42,27,44,90,6,89,5,1,4,81,6,51,6,12,67,12,54,27,54,80,5,60,14,66,15,2,29,40,29,51,35,51,30,3,45,50,14,53,14,54,15,50,41,28,45,28,35,66,6,3,83,13,68,41,42,54,30,40,41,61,15,13,55,60,29,28,42,3,55,50,29,51,15,40,14,41,6,50,5,28,30,13,35,3,42,2,82,12,29,3,30,12,41,65,5,28,6,3,35,12,44,13,42,13,6,27,34,40,34,41,15,2,67,2,54,13,15,53,5,1.0
49,55,36,60,29,92,66,29,37,59,31,65,52,43,67,27,52,33,37,33,53,12,62,12,33,42,52,27,51,42,36,58,30,64,39,58,32,63,59,39,69,26,34,62,40,56,71,24,62,32,34,59,62,27,2,62,63,12,34,25,39,32,67,23,52,32,36,55,61,31,33,61,70,23,39,55,1,93,82,23,37,56,31,56,66,26,2,94,40,43,33,55,83,12,83,12,0,11,71,12,40,12,30,61,30,58,33,58,70,12,62,24,68,24,1,27,36,27,40,33,40,28,2,56,39,24,52,24,53,25,39,42,34,56,34,33,68,12,2,65,31,62,37,43,52,28,36,42,63,24,31,59,61,27,34,43,2,59,39,27,40,25,36,24,37,12,39,12,34,28,31,33,2,43,1,64,30,27,2,28,30,42,67,12,34,12,2,33,30,55,31,43,31,12,33,32,36,32,37,25,1,61,1,58,31,25,52,12,1.0
37,57,33,66,22,81,57,47,34,60,23,69,38,56,65,30,38,50,34,50,39,1,44,0,25,55,38,29,37,55,33,59,22,70,35,59,24,68,41,55,76,23,26,67,36,58,81,15,44,50,26,60,45,30,11,69,45,1,27,15,35,49,64,14,37,49,33,57,43,49,25,66,80,13,35,57,11,83,94,10,34,58,24,58,63,29,10,84,36,56,25,57,95,1,94,0,9,0,81,1,37,1,23,68,23,60,25,59,80,0,44,14,65,15,11,30,34,29,36,50,37,30,11,59,36,14,38,14,39,15,35,55,26,58,26,50,65,1,10,71,24,67,34,56,39,30,33,55,45,15,24,60,44,29,26,56,11,61,36,29,37,15,34,14,35,1,36,0,27,30,24,50,11,57,11,70,24,30,12,31,23,56,64,0,27,1,11,51,23,58,24,56,25,1,25,49,33,49,35,15,11,68,11,60,25,15,38,0,1.0
39,59,25,73,21,80,62,32,27,69,21,74,45,49,64,29,45,34,27,34,45,1,61,0,21,50,44,30,44,49,26,68,21,73,29,67,21,73,60,45,70,28,22,73,31,63,77,18,60,34,22,69,61,31,13,74,62,1,22,19,32,33,64,18,44,33,26,62,61,33,21,73,76,18,31,62,12,82,94,12,27,63,22,63,64,30,13,83,33,51,21,62,95,1,94,0,10,0,77,1,33,1,21,73,21,68,21,68,76,0,61,18,65,18,12,30,26,30,33,34,33,31,13,63,32,18,44,18,45,19,32,50,22,63,22,34,65,1,13,74,22,74,27,51,45,31,26,50,62,19,22,69,61,30,22,51,13,69,32,30,33,19,26,18,27,1,32,0,22,31,22,34,13,51,12,73,21,30,13,31,21,50,64,0,22,1,13,34,21,62,22,51,22,1,21,33,26,33,27,19,12,73,12,68,22,19,44,0,1.0
45,46,32,65,6,92,68,29,34,55,12,80,48,44,72,20,49,34,37,34,50,4,60,4,23,44,49,20,48,42,35,55,9,81,38,52,17,74,55,41,79,14,21,70,42,48,81,9,60,33,22,58,60,20,2,72,61,4,23,12,43,34,72,10,49,33,36,50,59,33,21,67,81,9,40,49,1,93,87,7,36,50,14,52,72,19,0,94,43,44,22,50,91,2,90,2,0,1,84,3,44,4,11,71,12,57,22,55,83,2,59,11,73,11,1,20,37,20,43,34,43,20,2,52,43,11,49,11,49,11,42,44,22,52,23,35,75,4,2,82,14,72,37,44,49,20,37,44,60,11,14,58,59,20,23,46,2,58,43,20,43,11,37,11,38,4,43,4,23,21,14,35,2,46,1,81,13,20,2,21,13,45,74,3,24,5,2,35,12,51,14,46,14,5,23,34,37,34,37,11,1,71,1,57,14,12,49,4,1.0
49,46,48,50,14,94,58,41,48,47,24,71,50,46,60,36,50,43,49,43,50,5,52,4,43,45,49,35,49,45,48,46,23,70,48,46,42,60,51,45,67,34,44,51,49,46,69,26,53,43,44,47,53,36,1,52,53,5,44,26,48,42,59,25,49,42,48,46,52,42,43,50,69,25,48,46,0,94,87,23,49,47,25,47,59,35,1,95,49,46,43,46,91,4,90,4,0,1,70,5,49,5,24,51,24,46,43,46,69,4,52,25,60,26,0,35,48,35,49,43,49,36,1,47,48,25,49,25,50,26,48,45,44,47,44,43,60,5,1,71,25,52,49,46,50,36,48,45,53,26,25,47,52,35,44,46,1,47,48,35,49,26,48,25,49,5,48,4,44,36,25,43,1,46,0,70,24,35,1,36,24,45,59,4,44,5,1,43,24,46,25,46,25,5,43,42,48,42,49,26,0,51,0,46,25,26,49,4,1.0
