@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atLee numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute destClass ,1}

@data
66,37,51,55,39,64,26,22,29,67,40,56,54,41,70,25,55,26,40,41,40,26,54,25,69,25,54,40,39,55,28,66,29,56,28,25,39,25,39,40,28,55,29,41,28,40,29,26,1.0
63,49,45,53,41,63,29,23,31,65,42,54,46,50,68,28,46,28,42,50,42,28,45,27,67,27,45,49,41,53,30,64,31,54,30,27,41,27,41,49,30,53,31,50,30,49,31,28,1.0
69,38,56,45,45,69,21,19,24,72,48,48,57,39,73,23,57,23,48,39,48,23,56,22,72,22,56,38,47,47,23,71,24,48,23,22,47,22,47,38,23,47,24,39,23,38,24,23,1.0
74,32,56,57,35,74,12,16,16,79,37,58,58,36,77,17,60,19,37,36,37,19,59,18,76,18,59,35,36,58,16,78,17,59,16,18,36,18,36,35,16,58,17,36,16,35,17,19,1.0
79,42,44,62,24,75,17,13,19,77,29,67,49,47,81,15,49,15,29,47,29,15,48,14,80,14,48,46,28,66,18,76,19,67,18,14,28,14,28,46,18,66,19,47,18,46,19,15,1.0
75,35,55,48,46,75,15,15,18,78,47,49,58,38,78,18,58,18,47,38,47,18,57,17,77,16,56,37,46,48,17,77,18,49,17,17,46,17,46,37,17,48,18,38,17,37,18,18,1.0
68,31,55,58,36,63,31,24,32,64,37,59,59,36,70,25,60,26,37,36,37,26,59,25,69,24,58,35,36,58,31,63,32,59,31,25,36,25,36,35,31,58,32,36,31,35,32,26,1.0
73,52,38,58,34,68,22,15,24,71,35,59,41,54,77,19,41,19,36,54,36,19,40,18,76,18,40,53,34,58,23,70,24,60,24,18,35,18,35,53,23,59,25,55,24,54,25,19,1.0
67,36,54,64,28,73,21,19,22,74,30,66,56,39,72,23,57,24,30,39,30,24,56,23,71,23,56,38,29,65,21,73,22,66,21,23,29,23,29,38,21,65,22,39,21,38,22,24,1.0
75,34,54,49,33,72,8,7,16,80,39,56,57,37,82,13,58,13,39,38,40,14,57,13,81,13,57,37,39,53,13,79,16,56,15,13,39,13,39,37,15,55,16,38,15,37,16,14,1.0
64,41,51,46,48,54,32,26,37,59,49,47,53,43,67,29,53,29,49,43,49,29,52,28,66,28,52,42,48,46,36,58,37,47,36,28,48,28,48,42,36,46,37,43,36,42,37,29,1.0
68,44,46,59,35,64,30,22,31,65,36,60,49,47,71,25,49,25,36,47,36,25,48,24,70,24,48,46,35,59,30,64,31,60,30,24,35,24,35,46,30,59,31,47,30,46,31,25,1.0
68,39,51,61,29,70,22,20,24,72,32,64,54,42,72,24,54,24,32,42,32,24,53,23,71,23,53,41,31,63,23,71,24,64,23,23,31,23,31,41,23,63,24,42,23,41,24,24,0.0
71,42,46,52,42,54,28,21,35,61,43,53,50,46,73,23,50,23,43,46,43,23,49,22,72,22,49,45,42,52,34,60,35,53,34,22,42,22,42,45,34,52,35,46,34,45,35,23,1.0
68,38,52,53,37,67,19,22,24,72,40,56,54,41,71,24,55,25,40,41,40,25,54,24,70,24,54,39,38,55,23,71,24,56,23,24,39,24,39,40,23,55,24,41,23,40,24,25,0.0
78,47,45,57,35,67,23,12,25,70,37,58,47,49,81,15,47,15,37,49,37,15,46,14,80,14,46,48,36,58,25,69,26,59,25,14,36,14,36,48,25,58,26,49,25,48,26,15,1.0
85,38,48,58,28,75,17,3,18,77,33,62,53,43,89,7,53,7,33,43,33,7,52,6,88,6,52,42,32,62,18,76,19,63,18,6,32,6,32,42,18,62,19,43,18,42,19,7,1.0
69,32,52,55,38,68,15,13,21,74,39,56,55,38,76,17,58,20,39,38,39,20,57,19,75,18,56,37,39,56,21,74,21,56,21,19,39,19,39,37,21,56,21,38,21,37,21,20,1.0
72,34,54,54,30,82,10,19,11,84,35,59,58,37,74,21,58,21,36,37,36,21,57,21,74,21,57,37,35,58,10,83,11,60,11,21,35,21,35,37,11,59,12,38,11,37,12,21,1.0
72,44,44,62,30,69,25,14,26,70,32,64,48,48,77,19,48,19,32,48,32,19,47,18,76,18,47,47,31,63,25,69,26,64,25,18,31,18,31,47,25,63,26,48,25,47,26,19,1.0
74,44,50,51,39,65,23,12,27,69,42,54,51,45,79,17,51,17,42,45,42,17,50,16,78,16,50,44,41,53,26,68,27,54,26,16,41,16,41,44,26,53,27,45,26,44,27,17,1.0
79,24,54,47,29,81,5,11,9,86,37,56,62,31,82,13,63,13,38,33,39,14,62,13,81,11,60,31,37,56,9,85,10,57,9,13,38,13,38,32,9,56,10,33,9,32,10,14,1.0
76,42,46,62,30,69,23,12,25,71,32,64,50,46,80,16,50,16,32,46,32,16,49,15,79,15,49,44,30,63,24,70,25,64,24,15,31,15,31,45,24,63,25,46,24,45,25,16,0.0
71,41,45,56,38,65,25,19,28,68,39,57,49,46,74,21,50,22,39,46,39,22,49,21,73,21,49,45,38,56,27,67,28,57,27,21,38,21,38,45,27,56,28,46,27,45,28,22,0.0
75,31,55,47,35,84,2,11,7,89,40,54,59,34,80,15,60,15,41,36,42,16,59,15,79,15,59,34,40,53,6,88,7,54,6,15,41,15,41,35,6,53,7,36,6,35,7,16,1.0
73,33,49,57,37,73,13,9,18,78,38,58,55,40,80,15,56,16,38,40,38,16,55,15,79,15,55,39,37,57,17,77,18,58,17,15,37,15,37,39,17,57,18,40,17,39,18,16,1.0
64,42,50,46,46,65,25,28,28,68,48,48,52,44,66,30,52,30,48,44,48,30,51,29,65,29,51,43,47,47,27,67,28,48,27,29,47,29,47,43,27,47,28,44,27,43,28,30,1.0
69,36,52,58,30,67,23,23,25,70,34,61,56,40,71,25,56,25,34,40,34,25,55,24,70,24,55,39,33,61,25,69,26,62,25,24,33,24,33,39,25,61,26,40,25,39,26,25,1.0
75,39,53,49,39,72,16,13,19,76,43,52,55,41,79,17,55,17,43,41,43,17,54,16,78,16,54,39,41,52,19,75,20,53,19,16,42,16,42,40,19,52,20,41,19,40,20,17,1.0
79,43,45,58,30,70,18,1,21,74,34,61,49,47,87,9,49,9,34,47,34,9,48,8,86,8,48,45,32,61,21,73,22,62,21,8,33,8,33,46,21,61,22,47,21,46,22,9,1.0
82,27,53,61,31,72,12,2,17,78,32,62,60,34,88,7,61,8,33,35,33,8,60,7,87,7,60,34,32,62,17,77,18,63,17,7,32,7,32,34,17,62,18,35,17,34,18,8,1.0
62,33,59,37,51,72,12,28,16,78,53,39,60,33,65,30,61,30,54,34,55,30,60,30,64,30,60,34,54,40,17,77,17,41,17,30,54,30,54,34,17,40,17,35,17,34,18,31,1.0
66,40,50,61,31,73,21,22,22,74,33,63,52,43,70,25,53,26,33,43,33,26,52,25,69,25,52,42,32,62,21,73,22,63,21,25,32,25,32,42,21,62,22,43,21,42,22,26,1.0
92,18,68,57,21,92,0,0,1,94,29,65,73,22,94,2,73,2,30,22,30,2,72,1,93,1,72,22,29,65,1,93,1,66,1,1,29,1,29,22,1,65,2,23,1,22,2,2,1.0
65,35,57,47,41,71,17,21,21,75,45,51,58,37,70,25,59,26,45,37,45,26,58,25,69,25,58,36,44,50,20,74,21,51,20,25,44,25,44,36,20,50,21,37,20,36,21,26,1.0
67,30,62,52,34,68,26,25,27,69,39,57,64,32,69,27,64,27,39,32,39,27,63,26,68,25,62,31,38,56,26,68,27,57,26,26,38,26,38,31,26,56,27,32,26,31,27,27,1.0
87,36,40,59,27,76,14,1,17,79,30,64,50,44,91,5,50,5,32,46,32,5,49,4,90,4,49,45,31,63,16,78,17,64,16,4,31,4,31,45,16,63,17,46,16,45,17,5,1.0
