@relation 'Sax dominant'

@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atLccc numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o2atMaaa numeric
@attribute o2atMabb numeric
@attribute o2atLabb numeric
@attribute o2atMbcb numeric
@attribute o2atLbcb numeric
@attribute o2atMbbc numeric
@attribute o2atLbbc numeric
@attribute o2atLccc numeric
@attribute o2atMcbb numeric
@attribute o2atLcbb numeric
@attribute o2atMaab numeric
@attribute o2atLaab numeric
@attribute o2atMbbb numeric
@attribute o2atLbbb numeric
@attribute o2atMbcc numeric
@attribute o2atLbcc numeric
@attribute o2atMccb numeric
@attribute o2atLccb numeric
@attribute o2atMaba numeric
@attribute o2atLaba numeric
@attribute o2atMbab numeric
@attribute o2atLbab numeric
@attribute o2atMbba numeric
@attribute o2atLbba numeric
@attribute o2atMbaa numeric
@attribute o2atLbaa numeric
@attribute o2atMcca numeric
@attribute o2atLcca numeric
@attribute o2atMcaa numeric
@attribute o2atLcaa numeric
@attribute o2atMabc numeric
@attribute o2atLabc numeric
@attribute o2atMcbc numeric
@attribute o2atLcbc numeric
@attribute o2atMaac numeric
@attribute o2atLaac numeric
@attribute o2atMaca numeric
@attribute o2atLaca numeric
@attribute o2atMcba numeric
@attribute o2atLcba numeric
@attribute o3atMbba numeric
@attribute o3atLbba numeric
@attribute o3atMaaa numeric
@attribute o3atMacc numeric
@attribute o3atLacc numeric
@attribute o3atMcbb numeric
@attribute o3atLcbb numeric
@attribute o3atMaac numeric
@attribute o3atLaac numeric
@attribute o3atLccc numeric
@attribute o3atMbbc numeric
@attribute o3atLbbc numeric
@attribute o3atMbbb numeric
@attribute o3atLbbb numeric
@attribute o3atMbaa numeric
@attribute o3atLbaa numeric
@attribute o3atMccb numeric
@attribute o3atLccb numeric
@attribute o3atMbcb numeric
@attribute o3atLbcb numeric
@attribute o3atMabb numeric
@attribute o3atLabb numeric
@attribute o3atMaab numeric
@attribute o3atLaab numeric
@attribute o3atMcbc numeric
@attribute o3atLcbc numeric
@attribute o3atMbcc numeric
@attribute o3atLbcc numeric
@attribute o3atMcca numeric
@attribute o3atLcca numeric
@attribute o3atMaba numeric
@attribute o3atLaba numeric
@attribute o3atMacb numeric
@attribute o3atLacb numeric
@attribute o3atMbab numeric
@attribute o3atLbab numeric
@attribute o3atMcaa numeric
@attribute o3atLcaa numeric
@attribute o3atMabc numeric
@attribute o3atLabc numeric
@attribute o3atMcba numeric
@attribute o3atLcba numeric
@attribute o3atMbac numeric
@attribute o3atLbac numeric
@attribute o3atMbca numeric
@attribute o3atLbca numeric
@attribute o3atMcab numeric
@attribute o3atLcab numeric
@attribute destClass ,1}

@data
29,0,30,0,29,0,29,0,27,28,1,30,0,30,0,29,0,30,0,30,0,29,0,28,1,0,28,1,30,0,30,0,29,0,29,0,28,0,28,0,28,0,29,0,6,12,14,18,11,19,11,10,18,10,8,19,18,11,20,11,18,10,8,18,12,14,11,13,7,17,11,10,7,10,13,12,19,10,8,12,8,11,11,10,0,30,0,0,22,6,24,0,23,22,6,23,5,30,0,30,7,23,5,23,0,30,0,30,7,22,6,22,0,23,0,30,0,23,0,30,0,24,0,23,0,24,0,23,0,23,0,24,0.0
24,0,30,0,24,5,22,4,20,21,7,30,0,30,0,23,5,30,0,30,3,22,0,20,6,0,21,8,30,0,30,0,24,0,24,0,20,0,21,0,21,0,23,0,10,12,17,15,14,16,14,13,15,13,11,18,15,15,17,14,15,13,10,18,12,15,12,16,11,17,12,13,11,13,13,15,16,13,11,15,10,14,12,13,0,30,0,0,11,17,13,0,12,11,17,12,16,30,0,30,18,12,16,12,0,30,0,30,18,11,17,11,0,12,0,30,0,12,0,30,0,13,0,12,0,13,0,12,0,12,0,13,0.0
29,0,30,0,29,2,27,1,27,27,2,30,0,30,0,28,1,30,0,30,1,27,0,27,1,0,28,3,30,0,30,0,29,0,29,0,27,0,27,0,28,0,28,0,0,0,30,11,18,12,19,17,11,17,0,30,11,30,13,18,11,17,0,30,0,30,0,30,0,30,0,17,0,17,0,19,12,17,0,19,0,18,0,17,0,30,0,0,19,9,21,0,20,19,9,20,8,30,0,30,10,20,8,20,0,30,0,30,10,19,9,19,0,20,0,30,0,20,0,30,0,21,0,20,0,21,0,20,0,20,0,21,1.0
27,0,30,0,27,1,26,1,23,24,3,30,0,30,0,27,1,30,0,30,0,26,0,24,3,0,25,4,30,0,30,0,27,0,27,0,24,0,24,0,25,0,27,0,3,5,26,18,11,19,12,10,18,10,4,27,18,25,20,11,18,10,3,26,4,25,3,25,3,25,3,10,3,10,5,12,19,10,4,12,3,11,3,10,0,30,0,0,22,6,23,0,23,21,6,23,5,30,0,30,7,22,5,23,0,30,0,30,7,21,7,22,0,22,0,30,0,23,0,30,0,23,0,23,0,23,0,23,0,23,0,23,1.0
30,0,30,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,4,6,25,10,19,11,20,18,10,18,5,26,10,24,12,19,10,18,4,25,5,24,4,24,4,24,4,18,4,18,6,20,11,18,5,20,4,19,4,18,0,30,0,0,10,16,13,0,12,9,16,12,14,30,0,30,18,11,14,12,0,30,0,30,18,9,17,10,0,11,0,30,0,12,0,30,0,13,0,12,0,13,0,12,0,12,0,13,1.0
30,0,30,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,7,9,22,12,17,13,18,16,12,16,8,23,12,21,14,17,12,16,7,22,8,21,7,21,7,21,7,16,7,16,9,18,13,16,8,18,7,17,7,16,0,30,0,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,1.0
28,0,30,0,28,1,27,1,26,26,2,30,0,30,0,28,1,30,0,30,0,27,0,26,2,0,27,3,30,0,30,0,28,0,28,0,26,0,26,0,27,0,28,0,5,8,21,24,4,24,5,0,23,3,6,23,23,19,27,2,25,1,5,22,8,20,7,20,6,22,7,1,6,3,8,5,26,2,6,5,5,4,7,3,0,30,0,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,1.0
24,0,30,0,24,4,24,4,20,21,6,30,0,30,0,24,3,30,0,30,3,24,0,22,6,0,22,6,30,0,30,0,24,0,24,0,22,0,21,0,22,0,24,0,6,8,23,19,10,20,11,9,19,9,7,24,19,22,21,10,19,9,6,23,7,22,6,22,6,22,6,9,6,9,8,11,20,9,7,11,6,10,6,9,0,30,0,0,11,13,15,0,14,10,13,14,11,30,0,30,16,12,12,14,0,30,0,30,16,11,15,11,0,12,0,30,0,14,0,30,0,15,0,14,0,15,0,14,0,14,0,15,1.0
24,0,30,0,24,5,23,4,20,22,7,30,0,30,0,23,5,30,0,30,4,23,0,21,6,0,21,7,30,0,30,0,24,0,24,0,21,0,22,0,21,0,23,0,0,1,28,9,20,10,21,19,9,19,0,29,9,27,11,20,9,19,0,29,1,28,1,28,0,29,1,19,0,19,1,21,10,19,0,21,0,20,1,19,0,30,0,0,7,15,11,0,11,4,15,11,12,30,0,30,19,7,13,11,0,30,0,30,19,5,19,7,0,7,0,30,0,11,0,30,0,11,0,11,0,11,0,11,0,11,0,11,1.0
25,0,30,0,25,3,25,3,22,23,5,30,0,30,0,25,3,30,0,30,2,25,0,23,5,0,23,5,30,0,30,0,25,0,25,0,23,0,23,0,23,0,25,0,8,12,18,24,5,25,6,4,24,4,10,20,24,16,26,5,24,4,8,19,11,16,10,17,9,18,10,4,9,4,12,6,25,4,10,6,8,5,10,4,0,30,0,0,23,5,24,0,24,22,5,24,4,30,0,30,6,23,4,24,0,30,0,30,6,22,6,23,0,23,0,30,0,24,0,30,0,24,0,24,0,24,0,24,0,24,0,24,1.0
30,0,30,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,3,5,26,10,19,11,20,18,10,18,4,27,10,25,12,19,10,18,3,26,4,25,3,25,3,25,3,18,3,18,5,20,11,18,4,20,3,19,3,18,0,30,0,0,5,21,8,0,7,5,21,7,19,30,0,30,23,6,20,7,0,30,0,30,23,5,22,5,0,6,0,30,0,7,0,30,0,8,0,7,0,8,0,7,0,7,0,8,1.0
29,0,29,0,28,0,28,0,28,28,1,29,0,28,0,28,0,30,0,28,0,29,0,28,1,0,28,0,29,0,29,0,28,0,29,0,29,1,29,1,28,0,29,0,1,3,28,13,15,14,16,12,13,14,2,29,13,27,16,14,14,13,1,28,2,27,1,27,1,27,1,13,1,14,3,16,15,13,2,16,1,15,1,14,0,30,0,0,25,1,27,0,27,23,1,27,0,30,0,30,3,25,0,27,0,30,0,30,3,24,3,25,0,25,0,30,0,27,0,30,0,27,0,27,0,27,0,27,0,27,0,27,1.0
25,0,30,0,25,5,23,4,22,23,6,30,0,30,0,24,5,30,0,30,4,23,0,22,5,0,23,7,30,0,30,0,25,0,25,0,22,0,23,0,23,0,24,0,0,1,28,27,2,28,3,1,27,1,0,29,27,27,29,2,27,1,0,29,1,28,1,28,0,29,1,1,0,1,1,3,28,1,0,3,0,2,1,1,0,30,0,0,29,0,29,0,30,28,0,30,0,30,0,30,0,28,0,29,0,30,0,30,1,29,1,29,0,28,0,30,0,29,0,30,0,29,0,30,0,29,0,30,0,29,0,29,1.0
21,0,28,0,19,5,21,5,13,15,9,28,1,28,0,20,3,29,0,27,3,21,1,17,9,0,16,9,29,0,29,0,20,0,20,1,17,1,15,1,17,1,20,1,8,12,18,25,4,26,5,3,25,3,10,20,25,17,27,4,25,3,9,19,11,17,10,17,9,18,10,3,9,3,12,5,26,3,10,5,9,4,10,3,0,28,0,1,22,6,22,0,23,21,6,23,5,27,0,29,7,22,5,23,1,28,0,29,7,21,7,22,1,22,0,29,1,23,1,28,0,23,1,23,1,23,1,23,0,23,1,22,1.0
30,0,30,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,13,15,16,20,9,21,10,8,20,8,14,17,20,15,22,9,20,8,13,16,14,15,13,15,13,15,13,8,13,8,15,10,21,8,14,10,13,9,13,8,0,30,0,0,28,0,29,0,29,27,0,29,0,30,0,30,1,28,0,29,0,30,0,30,1,28,1,28,0,28,0,30,0,29,0,30,0,29,0,29,0,29,0,29,0,29,0,29,1.0
30,0,30,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,0,1,30,4,24,5,25,21,4,23,0,30,4,29,7,23,5,22,0,30,0,29,0,29,0,29,0,22,0,23,1,25,6,22,0,25,0,24,0,23,0,30,0,0,10,14,13,0,13,8,14,13,12,30,0,30,17,10,13,13,0,30,0,30,17,9,17,10,0,10,0,30,0,13,0,30,0,13,0,13,0,13,0,13,0,13,0,13,1.0
29,0,30,0,29,2,27,1,27,27,2,30,0,30,0,28,1,30,0,30,1,27,0,27,1,0,28,3,30,0,30,0,29,0,29,0,27,0,27,0,28,0,28,0,0,0,30,23,5,24,6,3,23,4,0,30,22,30,26,4,24,3,0,30,0,30,0,30,0,30,0,3,0,4,0,6,25,3,0,6,0,5,0,4,0,30,0,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0.0
30,0,30,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,9,11,20,12,17,13,18,16,12,16,10,21,12,19,14,17,12,16,9,20,10,19,9,19,9,19,9,16,9,16,11,18,13,16,10,18,9,17,9,16,0,30,0,0,6,16,11,0,10,5,16,10,13,30,0,30,20,7,15,10,0,30,0,30,20,6,19,6,0,7,0,30,0,10,0,30,0,11,0,10,0,11,0,10,0,10,0,11,1.0
27,0,30,0,27,1,27,1,23,24,3,30,0,30,0,27,0,30,0,30,0,27,0,25,3,0,25,3,30,0,30,0,27,0,27,0,25,0,24,0,25,0,27,0,4,6,25,10,19,11,20,18,10,18,5,26,10,24,12,19,10,18,4,25,5,24,4,24,4,24,4,18,4,18,6,20,11,18,5,20,4,19,4,18,0,30,0,0,13,15,15,0,14,13,15,14,14,30,0,30,16,14,14,14,0,30,0,30,16,13,15,13,0,14,0,30,0,14,0,30,0,15,0,14,0,15,0,14,0,14,0,15,0.0
23,0,30,0,23,6,24,6,22,22,7,30,0,30,0,23,5,30,0,30,5,24,0,23,7,0,22,6,30,0,30,0,23,0,23,0,23,0,22,0,22,0,23,0,8,10,21,14,13,16,14,10,15,12,9,22,14,20,18,12,16,11,8,21,9,20,8,20,8,20,8,11,8,12,10,14,17,10,9,14,8,13,8,12,0,30,0,0,18,6,21,0,21,16,6,21,4,30,0,30,9,18,5,21,0,30,0,30,9,17,9,18,0,18,0,30,0,21,0,30,0,21,0,21,0,21,0,21,0,21,0,21,1.0
10,0,30,0,10,17,11,17,5,5,20,30,0,30,0,10,14,30,0,30,14,11,0,8,20,0,7,19,30,0,30,0,10,0,10,0,8,0,5,0,7,0,10,0,11,13,18,20,7,21,8,4,20,6,12,19,18,17,24,5,22,4,11,18,12,17,11,17,11,17,11,4,11,6,13,8,23,4,12,8,11,7,11,6,0,30,0,0,20,4,24,0,23,19,4,23,1,30,0,30,7,21,2,23,0,30,0,30,7,19,6,20,0,21,0,30,0,23,0,30,0,24,0,23,0,24,0,23,0,23,0,24,1.0
18,5,23,6,18,10,20,11,18,18,11,24,6,23,5,19,10,25,5,23,10,20,6,19,12,4,18,10,24,5,24,4,18,5,18,6,19,6,18,6,18,5,19,6,15,17,14,24,4,25,4,2,25,4,16,15,24,13,26,3,26,3,15,14,16,13,15,13,15,13,15,3,15,4,17,4,26,2,16,4,15,4,15,4,0,30,0,0,17,9,19,0,19,15,9,19,7,30,0,30,11,17,7,19,0,30,0,30,11,15,11,17,0,17,0,30,0,19,0,30,0,19,0,19,0,19,0,19,0,19,0,19,1.0
16,0,30,0,16,14,14,13,12,12,15,30,0,30,0,15,12,30,0,30,12,14,0,13,14,0,14,16,30,0,30,0,16,0,16,0,13,0,12,0,14,0,15,0,0,0,30,15,14,16,15,13,15,13,0,30,15,30,17,14,15,13,0,30,0,30,0,30,0,30,0,13,0,13,0,15,16,13,0,15,0,14,0,13,11,19,9,10,14,12,17,10,16,13,12,15,11,18,10,20,14,15,11,16,9,18,9,19,14,14,13,14,11,15,9,19,9,16,10,18,10,17,10,15,11,17,11,15,11,16,10,17,1.0
27,0,30,0,27,3,26,3,25,25,4,30,0,30,0,26,2,30,0,30,2,26,0,25,3,0,26,4,30,0,30,0,27,0,27,0,25,0,25,0,26,0,26,0,0,0,30,5,23,6,24,20,5,22,0,30,5,30,8,22,6,21,0,30,0,30,0,30,0,30,0,21,0,22,0,24,7,21,0,24,0,23,0,22,0,30,0,0,13,13,14,0,15,10,13,15,11,30,0,30,15,12,11,15,0,30,0,30,15,10,16,13,0,12,0,30,0,15,0,30,0,14,0,15,0,14,0,15,0,15,0,14,1.0
27,0,30,0,27,1,27,1,24,25,3,30,0,30,0,27,1,30,0,30,0,27,0,25,3,0,25,3,30,0,30,0,27,0,27,0,25,0,25,0,25,0,27,0,9,11,20,17,12,18,13,11,17,11,10,21,17,19,19,12,17,11,9,20,10,19,9,19,9,19,9,11,9,11,11,13,18,11,10,13,9,12,9,11,0,30,0,0,23,3,25,0,25,22,3,25,2,30,0,30,5,23,3,25,0,30,0,30,5,23,5,23,0,23,0,30,0,25,0,30,0,25,0,25,0,25,0,25,0,25,0,25,1.0
17,2,23,4,17,10,17,10,12,12,13,24,3,24,4,17,7,26,2,23,7,18,4,15,13,0,14,12,26,2,26,1,17,4,17,4,15,4,12,4,14,4,17,3,2,6,23,25,3,26,4,1,25,2,4,25,24,21,28,2,26,1,2,24,6,21,5,22,4,24,5,1,4,2,6,4,27,1,4,4,2,3,5,2,4,22,0,4,9,13,13,1,13,9,13,11,10,19,1,26,17,10,13,12,3,21,1,25,17,10,16,9,5,10,1,25,4,13,3,22,1,14,3,11,5,14,5,13,4,12,3,13,1.0
26,0,30,0,26,5,24,4,24,24,5,30,0,30,0,25,4,30,0,30,4,24,0,24,4,0,25,6,30,0,30,0,26,0,26,0,24,0,24,0,25,0,25,0,0,2,27,20,8,20,8,7,21,7,1,28,20,26,21,8,22,7,0,28,1,26,0,27,0,28,2,8,1,9,2,8,21,7,1,8,0,9,1,8,0,30,0,0,23,4,24,0,25,21,4,25,3,30,0,30,5,22,3,24,0,30,0,30,6,22,6,23,0,22,0,30,0,24,0,30,0,24,0,25,0,24,0,25,0,24,0,24,0.0
30,0,30,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,4,6,25,11,16,13,17,13,12,15,5,26,11,24,15,15,13,14,4,25,5,24,4,24,4,24,4,14,4,15,6,17,14,13,5,17,4,16,4,15,0,30,0,0,16,8,20,0,19,14,8,19,6,30,0,30,11,17,6,19,0,30,0,30,11,15,10,16,0,17,0,30,0,19,0,30,0,20,0,19,0,20,0,19,0,19,0,20,0.0
7,13,13,14,7,24,5,23,5,5,24,14,13,15,15,6,23,15,12,13,23,5,13,5,23,11,6,25,17,13,16,11,7,15,7,14,5,13,5,14,6,15,6,13,0,4,22,13,16,13,15,15,14,17,1,25,13,21,13,15,15,16,2,26,4,23,5,23,1,26,5,16,1,17,4,15,14,15,1,15,2,16,5,17,19,6,12,20,0,29,0,16,1,0,30,0,29,4,15,10,29,0,29,0,19,6,15,11,30,0,30,0,19,0,14,10,19,0,19,5,15,0,20,0,19,0,20,0,19,0,19,0,1.0
24,0,30,0,24,3,23,3,16,18,7,30,0,30,0,23,1,30,0,30,1,23,0,19,6,0,20,7,30,0,30,0,24,0,24,0,19,0,18,0,20,0,23,0,3,5,25,12,16,12,17,13,11,15,4,26,10,24,15,14,13,13,3,25,5,24,4,24,4,25,4,13,4,15,5,17,14,14,4,17,3,16,4,15,0,30,0,0,12,12,16,0,15,11,12,15,10,30,0,30,15,13,11,15,0,30,0,30,15,12,14,12,0,13,0,30,0,15,0,30,0,16,0,15,0,16,0,15,0,15,0,16,1.0
26,0,30,0,26,2,26,2,23,23,4,30,0,30,0,26,1,30,0,30,0,26,0,24,4,0,24,4,30,0,30,0,26,0,26,0,24,0,23,0,24,0,26,0,12,14,17,18,11,19,12,10,18,10,13,18,18,16,20,11,18,10,12,17,13,16,12,16,12,16,12,10,12,10,14,12,19,10,13,12,12,11,12,10,0,30,0,0,24,4,25,0,25,23,4,25,3,30,0,30,5,24,3,25,0,30,0,30,5,23,5,24,0,24,0,30,0,25,0,30,0,25,0,25,0,25,0,25,0,25,0,25,1.0
28,0,30,0,28,0,29,0,25,27,2,30,0,30,0,28,0,30,0,30,0,29,0,27,2,0,26,1,30,0,30,0,28,0,28,0,27,0,27,0,26,0,28,0,0,2,29,20,9,21,10,8,20,8,1,30,20,28,22,9,20,8,0,29,1,28,0,28,0,28,0,8,0,8,2,10,21,8,1,10,0,9,0,8,0,30,0,0,20,8,21,0,21,19,8,21,7,30,0,30,9,20,7,21,0,30,0,30,9,19,9,20,0,20,0,30,0,21,0,30,0,21,0,21,0,21,0,21,0,21,0,21,1.0
22,0,30,0,22,6,23,6,19,19,8,30,0,30,0,22,4,30,0,30,4,23,0,21,8,0,20,7,30,0,30,0,22,0,22,0,21,0,19,0,20,0,22,0,10,13,17,23,6,24,7,5,23,5,11,19,23,15,25,6,23,5,10,18,12,16,11,16,10,17,11,5,10,5,13,7,24,5,11,7,10,6,11,5,0,30,0,0,26,2,27,0,27,25,2,27,1,30,0,30,3,26,1,27,0,30,0,30,3,25,3,26,0,26,0,30,0,27,0,30,0,27,0,27,0,27,0,27,0,27,0,27,1.0
22,0,30,0,22,5,22,5,16,17,8,30,0,30,0,22,3,30,0,30,3,22,0,19,8,0,19,8,30,0,30,0,22,0,22,0,19,0,17,0,19,0,22,0,3,5,26,14,13,16,14,10,15,12,4,27,14,25,18,12,16,11,3,26,4,25,3,25,3,25,3,11,3,12,5,14,17,10,4,14,3,13,3,12,0,30,0,0,23,1,26,0,26,20,1,26,0,30,0,30,4,23,0,26,0,30,0,30,4,22,4,23,0,23,0,30,0,26,0,30,0,26,0,26,0,26,0,26,0,26,0,26,1.0
24,0,30,0,24,5,24,5,22,22,6,30,0,30,0,24,4,30,0,30,4,24,0,23,6,0,23,6,30,0,30,0,24,0,24,0,23,0,22,0,23,0,24,0,1,5,25,14,12,16,13,8,15,11,3,27,13,24,19,10,17,9,2,26,4,24,3,24,2,25,3,9,2,11,5,13,18,8,3,13,2,12,3,11,0,30,0,0,8,14,12,0,12,5,14,12,11,30,0,30,18,8,12,12,0,30,0,30,18,6,18,8,0,8,0,30,0,12,0,30,0,12,0,12,0,12,0,12,0,12,0,12,1.0
28,0,30,0,28,1,29,1,27,27,2,30,0,30,0,28,0,30,0,30,0,29,0,28,2,0,27,1,30,0,30,0,28,0,28,0,28,0,27,0,27,0,28,0,1,6,23,9,20,10,21,19,9,19,3,26,9,21,11,20,9,19,2,25,5,22,4,22,2,24,4,19,2,19,6,21,10,19,3,21,2,20,4,19,6,24,4,5,11,17,13,5,12,11,17,11,16,23,5,25,18,12,16,12,4,23,4,24,18,11,17,11,6,12,4,24,4,12,5,23,5,13,5,11,6,13,6,11,6,12,5,13,1.0
29,0,30,0,29,2,27,1,27,27,2,30,0,30,0,28,1,30,0,30,1,27,0,27,1,0,28,3,30,0,30,0,29,0,29,0,27,0,27,0,28,0,28,0,0,0,30,10,19,11,20,18,10,18,0,30,10,30,12,19,10,18,0,30,0,30,0,30,0,30,0,18,0,18,0,20,11,18,0,20,0,19,0,18,0,30,0,0,14,14,16,0,15,14,14,15,13,30,0,30,15,15,13,15,0,30,0,30,15,14,14,14,0,15,0,30,0,15,0,30,0,16,0,15,0,16,0,15,0,15,0,16,1.0
6,0,28,1,5,21,5,20,0,2,25,28,1,28,0,5,21,29,0,27,18,5,1,1,24,0,1,25,29,0,29,0,6,1,5,1,1,1,2,1,1,1,5,1,4,6,25,24,4,25,4,2,25,4,5,26,24,24,26,3,26,3,4,25,5,24,4,24,4,24,4,3,4,4,6,4,26,2,5,4,4,4,4,4,3,26,1,3,6,16,10,2,10,4,16,10,13,25,2,27,20,6,15,10,3,26,2,27,20,5,20,6,3,6,1,27,3,10,3,25,2,10,3,10,3,10,3,10,3,10,3,10,1.0
26,0,30,0,26,3,26,3,24,24,4,30,0,30,0,26,2,30,0,30,2,26,0,25,4,0,25,4,30,0,30,0,26,0,26,0,25,0,24,0,25,0,26,0,10,12,17,14,15,14,15,13,13,14,11,19,13,16,16,14,14,13,11,18,12,17,11,16,10,17,11,13,10,14,13,16,15,14,11,16,11,15,11,14,1,28,0,1,16,12,18,0,17,16,12,17,11,27,0,29,13,17,11,17,1,28,0,29,13,16,12,16,1,17,0,29,1,17,1,28,0,18,1,17,1,18,1,17,1,17,1,18,1.0
30,0,30,0,30,0,29,0,29,29,0,30,0,30,0,30,0,30,0,30,0,29,0,29,0,0,30,1,30,0,30,0,30,0,30,0,29,0,29,0,30,0,30,0,0,0,30,18,11,19,12,10,18,10,0,30,18,30,20,11,18,10,0,30,0,30,0,30,0,30,0,10,0,10,0,12,19,10,0,12,0,11,0,10,0,30,0,0,16,12,17,0,17,15,12,17,11,30,0,30,13,16,11,17,0,30,0,30,13,15,13,16,0,16,0,30,0,17,0,30,0,17,0,17,0,17,0,17,0,17,0,17,1.0
21,0,30,0,21,9,19,8,18,18,10,30,0,30,0,20,8,30,0,30,7,19,0,18,9,0,19,11,30,0,30,0,21,0,21,0,18,0,18,0,19,0,20,0,0,0,30,2,24,4,24,20,4,24,0,30,2,30,6,22,6,22,0,30,0,30,0,30,0,30,0,22,0,24,0,24,6,20,0,24,0,24,0,24,1,28,0,1,0,21,5,0,5,0,21,4,16,27,0,29,25,0,20,3,0,28,0,29,26,0,25,0,1,0,0,29,1,4,0,28,0,5,0,4,1,5,1,5,1,3,0,5,1.0
30,0,30,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,3,7,23,18,11,19,12,10,18,10,5,25,18,22,20,11,18,10,4,24,6,22,5,22,4,23,5,10,4,10,7,12,19,10,5,12,4,11,5,10,0,30,0,0,25,1,27,0,27,24,1,27,0,30,0,30,3,25,1,27,0,30,0,30,3,25,3,25,0,25,0,30,0,27,0,30,0,27,0,27,0,27,0,27,0,27,0,27,1.0
29,0,30,0,29,0,30,0,28,29,1,30,0,30,0,29,0,30,0,30,0,30,0,29,1,0,28,0,30,0,30,0,29,0,29,0,29,0,29,0,28,0,29,0,8,10,21,15,14,16,15,13,15,13,9,22,15,20,17,14,15,13,8,21,9,20,8,20,8,20,8,13,8,13,10,15,16,13,9,15,8,14,8,13,0,30,0,0,24,2,26,0,26,22,2,26,1,30,0,30,4,24,1,26,0,30,0,30,4,23,4,24,0,24,0,30,0,26,0,30,0,26,0,26,0,26,0,26,0,26,0,26,1.0
30,0,30,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,5,7,24,8,21,9,22,20,8,20,6,25,8,23,10,21,8,20,5,24,6,23,5,23,5,23,5,20,5,20,7,22,9,20,6,22,5,21,5,20,1,28,0,1,11,15,14,0,13,10,15,13,13,27,0,29,17,12,13,13,1,28,0,29,17,10,16,11,1,12,0,29,1,13,1,28,0,14,1,13,1,14,1,13,1,13,1,14,1.0
27,0,30,0,27,2,27,2,25,25,3,30,0,30,0,27,1,30,0,30,1,27,0,26,3,0,26,3,30,0,30,0,27,0,27,0,26,0,25,0,26,0,27,0,2,4,27,12,17,13,18,16,12,16,3,28,12,26,14,17,12,16,2,27,3,26,2,26,2,26,2,16,2,16,4,18,13,16,3,18,2,17,2,16,0,30,0,0,13,13,16,0,15,13,13,15,11,30,0,30,15,14,12,15,0,30,0,30,15,13,14,13,0,14,0,30,0,15,0,30,0,16,0,15,0,16,0,15,0,15,0,16,1.0
