@relation 'Sax dominant'

@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atLccc numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o2atMaaa numeric
@attribute o2atMabb numeric
@attribute o2atLabb numeric
@attribute o2atMbcb numeric
@attribute o2atLbcb numeric
@attribute o2atMbbc numeric
@attribute o2atLbbc numeric
@attribute o2atLccc numeric
@attribute o2atMcbb numeric
@attribute o2atLcbb numeric
@attribute o2atMaab numeric
@attribute o2atLaab numeric
@attribute o2atMbbb numeric
@attribute o2atLbbb numeric
@attribute o2atMbcc numeric
@attribute o2atLbcc numeric
@attribute o2atMccb numeric
@attribute o2atLccb numeric
@attribute o2atMaba numeric
@attribute o2atLaba numeric
@attribute o2atMbab numeric
@attribute o2atLbab numeric
@attribute o2atMbba numeric
@attribute o2atLbba numeric
@attribute o2atMbaa numeric
@attribute o2atLbaa numeric
@attribute o2atMcca numeric
@attribute o2atLcca numeric
@attribute o2atMcaa numeric
@attribute o2atLcaa numeric
@attribute o2atMabc numeric
@attribute o2atLabc numeric
@attribute o2atMcbc numeric
@attribute o2atLcbc numeric
@attribute o2atMaac numeric
@attribute o2atLaac numeric
@attribute o2atMaca numeric
@attribute o2atLaca numeric
@attribute o2atMcba numeric
@attribute o2atLcba numeric
@attribute o3atMbba numeric
@attribute o3atLbba numeric
@attribute o3atMaaa numeric
@attribute o3atMacc numeric
@attribute o3atLacc numeric
@attribute o3atMcbb numeric
@attribute o3atLcbb numeric
@attribute o3atMaac numeric
@attribute o3atLaac numeric
@attribute o3atLccc numeric
@attribute o3atMbbc numeric
@attribute o3atLbbc numeric
@attribute o3atMbbb numeric
@attribute o3atLbbb numeric
@attribute o3atMbaa numeric
@attribute o3atLbaa numeric
@attribute o3atMccb numeric
@attribute o3atLccb numeric
@attribute o3atMbcb numeric
@attribute o3atLbcb numeric
@attribute o3atMabb numeric
@attribute o3atLabb numeric
@attribute o3atMaab numeric
@attribute o3atLaab numeric
@attribute o3atMcbc numeric
@attribute o3atLcbc numeric
@attribute o3atMbcc numeric
@attribute o3atLbcc numeric
@attribute o3atMcca numeric
@attribute o3atLcca numeric
@attribute o3atMaba numeric
@attribute o3atLaba numeric
@attribute o3atMacb numeric
@attribute o3atLacb numeric
@attribute o3atMbab numeric
@attribute o3atLbab numeric
@attribute o3atMcaa numeric
@attribute o3atLcaa numeric
@attribute o3atMabc numeric
@attribute o3atLabc numeric
@attribute o3atMcba numeric
@attribute o3atLcba numeric
@attribute o3atMbac numeric
@attribute o3atLbac numeric
@attribute o3atMbca numeric
@attribute o3atLbca numeric
@attribute o3atMcab numeric
@attribute o3atLcab numeric
@attribute destClass ,1}

@data
25,0,30,0,25,6,23,5,23,23,6,30,0,30,0,24,5,30,0,30,5,23,0,23,5,0,24,7,30,0,30,0,25,0,25,0,23,0,23,0,24,0,24,0,2,6,24,15,14,16,15,13,15,13,4,26,15,22,17,14,15,13,2,25,5,22,4,23,3,24,4,13,3,13,6,15,16,13,4,15,2,14,4,13,0,30,0,0,23,5,25,0,24,23,5,24,4,30,0,30,6,24,4,24,0,30,0,30,6,23,5,23,0,24,0,30,0,24,0,30,0,25,0,24,0,25,0,24,0,24,0,25,0.0
29,0,30,0,29,0,28,0,26,27,1,30,0,30,0,29,0,30,0,30,0,28,0,27,1,0,28,2,30,0,30,0,29,0,29,0,27,0,27,0,28,0,29,0,9,10,18,14,11,16,11,8,16,10,10,19,14,17,18,10,18,9,9,19,10,17,9,18,9,19,11,10,10,12,11,12,18,8,10,12,9,12,10,11,0,30,0,0,19,7,22,0,21,18,7,21,6,30,0,30,9,20,6,21,0,30,0,30,9,19,8,19,0,20,0,30,0,21,0,30,0,22,0,21,0,22,0,21,0,21,0,22,0.0
9,3,18,7,7,17,7,17,3,4,21,19,4,19,5,9,15,23,3,15,14,10,7,6,21,2,5,20,23,3,23,2,9,7,7,7,6,7,4,7,5,7,9,4,9,12,15,23,3,24,3,1,24,3,10,17,22,13,26,2,26,2,9,17,11,13,11,14,10,16,13,2,11,4,13,3,26,1,11,4,10,4,12,3,3,27,1,2,14,12,16,2,16,12,12,15,10,26,2,28,14,14,10,16,1,26,1,27,14,12,14,14,3,14,1,27,1,16,2,26,2,16,2,15,3,16,3,15,3,16,2,16,0.0
29,0,29,0,29,2,27,1,27,27,2,29,0,30,1,28,1,29,0,29,1,27,0,27,1,0,28,3,30,0,30,0,29,1,29,0,27,0,27,0,28,1,28,0,0,0,30,8,17,10,18,13,10,17,0,30,7,30,13,15,12,14,0,30,0,30,0,30,0,30,0,14,0,17,0,18,13,13,0,18,0,17,0,17,0,30,0,0,28,0,29,0,29,27,0,29,0,30,0,30,1,28,0,29,0,30,0,30,1,28,1,28,0,28,0,30,0,29,0,30,0,29,0,29,0,29,0,29,0,29,0,29,1.0
19,0,27,1,18,10,20,10,18,18,11,27,2,26,1,19,9,29,0,25,9,20,2,19,11,0,18,10,28,0,28,0,18,1,19,2,19,2,18,2,18,1,19,2,8,10,21,15,12,17,13,9,16,11,9,22,15,20,19,11,17,10,8,21,9,20,8,20,8,20,8,10,8,11,10,13,18,9,9,13,8,12,8,11,0,30,0,0,16,12,18,0,17,16,12,17,11,30,0,30,13,17,11,17,0,30,0,30,13,16,12,16,0,17,0,30,0,17,0,30,0,18,0,17,0,18,0,17,0,17,0,18,1.0
28,0,30,0,28,3,26,2,26,26,3,30,0,30,0,27,2,30,0,30,2,26,0,26,2,0,27,4,30,0,30,0,28,0,28,0,26,0,26,0,27,0,27,0,0,0,30,9,18,10,19,14,9,17,0,30,8,30,13,16,11,15,0,30,0,30,0,30,0,30,0,15,0,17,0,19,12,15,0,19,0,18,0,17,0,30,0,0,22,2,25,0,25,19,2,25,0,30,0,30,5,22,0,25,0,30,0,30,5,20,5,22,0,22,0,30,0,25,0,30,0,25,0,25,0,25,0,25,0,25,0,25,1.0
28,0,30,0,28,1,29,1,27,27,2,30,0,30,0,28,0,30,0,30,0,29,0,28,2,0,27,1,30,0,30,0,28,0,28,0,28,0,27,0,27,0,28,0,0,4,25,15,12,16,13,8,15,12,1,27,15,22,18,10,17,10,0,27,3,23,3,24,1,26,3,10,1,12,4,13,18,10,1,13,0,12,3,12,0,30,0,0,22,4,24,0,24,21,4,24,2,30,0,30,6,22,3,24,0,30,0,30,6,21,6,22,0,22,0,30,0,24,0,30,0,24,0,24,0,24,0,24,0,24,0,24,0.0
30,0,30,0,30,1,28,0,28,28,1,30,0,30,0,29,0,30,0,30,0,28,0,28,0,0,29,2,30,0,30,0,30,0,30,0,28,0,28,0,29,0,29,0,0,2,27,16,12,17,13,10,16,11,1,28,15,26,19,11,17,10,0,28,2,26,2,27,1,28,2,10,1,11,2,13,18,10,1,13,0,12,2,11,0,30,0,0,16,12,18,0,17,16,12,17,11,30,0,30,13,17,11,17,0,30,0,30,13,16,12,16,0,17,0,30,0,17,0,30,0,18,0,17,0,18,0,17,0,17,0,18,0.0
29,0,30,0,29,2,27,1,27,27,2,30,0,30,0,28,1,30,0,30,1,27,0,27,1,0,28,3,30,0,30,0,29,0,29,0,27,0,27,0,28,0,28,0,0,0,30,6,21,7,21,17,7,21,0,30,6,30,9,19,9,19,0,30,0,30,0,30,0,30,0,19,0,21,0,21,9,18,0,21,0,21,0,21,0,30,0,0,19,3,22,0,23,16,3,23,2,30,0,30,7,18,4,23,0,30,0,30,7,19,8,19,0,18,0,30,0,23,0,30,0,22,0,23,0,22,0,23,0,23,0,22,1.0
30,0,30,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,2,4,27,11,18,12,19,17,11,17,3,28,11,26,13,18,11,17,2,27,3,26,2,26,2,26,2,17,2,17,4,19,12,17,3,19,2,18,2,17,1,28,0,1,11,17,13,0,12,11,17,12,16,27,0,29,18,12,16,12,1,28,0,29,18,11,17,11,1,12,0,29,1,12,1,28,0,13,1,12,1,13,1,12,1,12,1,13,0.0
17,0,30,0,17,11,17,11,13,13,13,30,0,30,0,17,9,30,0,30,9,17,0,15,13,0,15,13,30,0,30,0,17,0,17,0,15,0,13,0,15,0,17,0,12,16,14,19,10,20,11,9,19,9,14,16,19,12,21,10,19,9,12,15,15,12,14,13,13,14,14,9,13,9,16,11,20,9,14,11,12,10,14,9,4,25,0,3,18,10,20,2,19,18,10,18,9,23,2,27,11,19,9,19,2,24,1,26,11,18,10,18,4,19,0,26,2,19,3,23,2,20,3,18,4,20,4,18,4,19,3,20,0.0
