@relation 'Sax dominant'

@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atLccc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMbca numeric
@attribute o1atLbca numeric
@attribute destClass {0,1}

@data
33,35,55,36,33,59,31,58,26,28,62,56,35,57,37,32,58,33,29,37,57,34,55,57,31,35,28,61,29,63,59,35,58,33,31,34,33,36,28,35,33,37,28,36,32,37,32,35,31,36,1
38,31,56,33,38,57,36,56,36,36,57,58,33,59,34,37,56,29,37,34,60,31,56,56,36,33,36,56,37,58,61,31,61,29,36,31,38,33,36,33,38,34,36,33,37,34,37,33,36,33,1
41,49,44,49,41,54,39,53,39,39,54,44,48,45,50,40,53,48,40,50,44,48,44,53,39,48,39,53,40,55,46,49,45,48,39,48,41,49,39,48,41,50,39,49,40,50,40,48,39,49,1
37,34,56,36,37,55,35,54,31,31,58,55,35,56,37,36,53,32,33,37,57,33,55,51,35,35,32,57,33,59,59,34,58,34,35,33,37,36,32,35,37,37,31,36,36,37,36,35,35,36,1
34,23,63,26,34,59,32,58,28,29,61,64,26,65,27,33,57,21,31,27,67,23,62,57,32,26,30,60,31,62,68,23,68,22,32,23,34,26,30,26,34,27,29,26,33,27,33,26,32,26,1
25,29,54,33,25,67,24,66,20,22,70,56,32,57,34,24,67,25,21,34,60,28,53,65,24,32,21,69,21,70,62,29,61,26,24,28,25,33,21,32,25,34,22,33,24,34,24,32,24,33,1
39,30,60,31,39,53,37,52,32,33,56,61,30,62,32,38,51,28,35,32,62,29,60,50,37,30,34,55,35,57,64,30,63,28,37,29,39,31,34,30,39,32,33,31,38,32,38,30,37,31,1
37,26,62,28,37,58,35,57,35,35,58,63,28,64,29,36,57,25,36,29,65,26,61,57,35,28,35,57,36,59,66,26,66,25,35,26,37,28,35,28,37,29,35,28,36,29,36,28,35,28,1
34,41,44,44,33,60,31,59,31,31,61,45,43,45,45,32,59,37,32,45,49,40,43,59,32,43,31,60,32,61,50,41,49,39,33,40,34,44,32,44,33,45,32,45,32,45,33,43,32,44,1
26,32,59,33,26,67,24,66,22,23,69,59,32,60,34,25,67,30,23,34,60,31,59,65,24,32,22,68,23,70,62,32,61,31,24,31,26,33,22,32,26,34,23,33,25,34,25,32,24,33,1
36,28,60,29,34,53,33,52,23,26,59,61,28,62,30,34,50,26,29,31,63,27,59,49,34,29,28,58,28,60,65,28,64,26,34,27,35,30,28,29,35,30,26,30,35,30,34,28,33,29,1
47,39,52,40,47,48,45,47,45,45,48,52,39,53,41,46,47,37,46,41,53,38,52,47,45,39,45,47,46,49,55,39,54,38,45,38,47,40,45,39,47,41,45,40,46,41,46,39,45,40,1
33,35,49,39,33,62,31,61,31,31,62,50,38,51,40,32,61,31,32,40,54,34,48,61,31,38,31,61,32,63,56,35,55,33,31,34,33,39,31,38,33,40,31,39,32,40,32,38,31,39,1
