@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atLee numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMcc numeric
@attribute o2atLcc numeric
@attribute o2atMdd numeric
@attribute o2atLdd numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMcd numeric
@attribute o2atLcd numeric
@attribute o2atMde numeric
@attribute o2atLde numeric
@attribute o2atMdc numeric
@attribute o2atLdc numeric
@attribute o2atMed numeric
@attribute o2atLed numeric
@attribute o2atMaa numeric
@attribute o2atLee numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMea numeric
@attribute o2atLea numeric
@attribute o2atMec numeric
@attribute o2atLec numeric
@attribute o2atMdb numeric
@attribute o2atLdb numeric
@attribute o2atMbe numeric
@attribute o2atLbe numeric
@attribute o2atMeb numeric
@attribute o2atLeb numeric
@attribute o2atMbd numeric
@attribute o2atLbd numeric
@attribute o2atMce numeric
@attribute o2atLce numeric
@attribute o2atMca numeric
@attribute o2atLca numeric
@attribute o3atMcc numeric
@attribute o3atLcc numeric
@attribute o3atMaa numeric
@attribute o3atMdd numeric
@attribute o3atLdd numeric
@attribute o3atLee numeric
@attribute o3atMcd numeric
@attribute o3atLcd numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMde numeric
@attribute o3atLde numeric
@attribute o3atMbd numeric
@attribute o3atLbd numeric
@attribute o3atMec numeric
@attribute o3atLec numeric
@attribute o3atMdc numeric
@attribute o3atLdc numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMed numeric
@attribute o3atLed numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMce numeric
@attribute o3atLce numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute o3atMeb numeric
@attribute o3atLeb numeric
@attribute o3atMbe numeric
@attribute o3atLbe numeric
@attribute o3atMdb numeric
@attribute o3atLdb numeric
@attribute o3atMad numeric
@attribute o3atLad numeric
@attribute o3atMca numeric
@attribute o3atLca numeric
@attribute o3atMae numeric
@attribute o3atLae numeric
@attribute destClass ,1}

@data
31,0,31,0,31,13,15,17,15,31,0,31,0,31,0,31,0,31,0,31,0,16,14,17,0,0,31,0,31,0,31,0,31,0,31,0,16,0,17,0,16,0,17,0,14,29,21,16,31,7,1,30,15,17,23,9,31,0,22,8,31,0,0,0,1,30,14,16,1,0,22,0,14,8,15,0,14,0,15,9,23,0,1,16,2,31,0,11,27,15,3,28,0,31,14,18,0,28,3,17,2,28,0,31,0,31,13,16,0,31,0,31,3,18,0,31,0,17,0,18,0,28,0,28,0,31,0,18,1.0
31,0,31,0,31,0,31,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,4,31,9,26,13,21,0,31,5,27,10,22,14,18,9,21,13,17,0,17,0,31,4,26,0,17,9,17,4,21,5,18,4,17,5,22,10,18,0,26,14,31,0,23,9,6,17,13,0,31,24,6,0,13,18,7,17,13,0,31,0,31,24,6,0,31,0,31,18,7,0,31,0,7,0,7,0,13,0,13,0,31,0,7,1.0
31,0,29,0,29,4,22,24,7,30,0,30,0,30,0,31,0,30,0,29,0,23,6,24,1,0,29,0,30,0,31,0,30,0,30,0,23,1,25,1,24,1,25,0,4,31,8,26,25,20,0,31,5,27,10,22,27,5,9,21,26,4,0,3,0,31,4,26,0,4,9,4,4,21,5,5,4,4,5,22,10,5,0,26,0,31,0,16,31,11,0,31,0,31,18,13,0,31,0,13,0,31,0,31,0,31,18,13,0,31,0,31,0,13,0,31,0,13,0,13,0,31,0,31,0,31,0,13,1.0
31,0,31,4,26,9,21,22,10,31,0,27,0,31,0,31,0,31,0,26,4,21,9,22,5,0,27,5,31,0,31,0,26,0,27,0,21,4,22,0,21,0,22,0,2,31,22,27,28,6,0,31,3,28,24,8,29,2,23,7,29,2,0,1,0,31,3,28,0,2,23,2,3,7,3,2,3,2,3,8,24,2,0,28,0,31,0,6,29,18,0,30,0,31,10,21,0,30,1,21,1,30,0,31,0,31,9,21,0,31,0,31,1,22,0,31,0,21,0,22,0,30,0,30,0,31,0,22,1.0
29,1,28,2,19,15,3,10,22,29,0,24,1,29,1,30,1,29,2,24,5,7,21,10,7,0,23,7,28,1,30,0,24,2,23,2,9,7,10,2,9,2,10,1,13,24,21,17,31,7,6,25,14,18,23,9,31,0,22,8,31,0,5,0,6,25,13,17,6,0,22,0,13,8,14,0,13,0,14,9,23,0,6,17,4,29,0,13,25,7,5,26,0,31,19,13,1,26,5,12,5,26,1,30,0,31,18,12,0,31,1,30,5,13,0,30,1,12,1,13,1,26,0,26,0,30,0,13,1.0
31,0,31,0,31,1,24,27,4,31,0,31,0,31,0,31,0,31,0,31,0,27,4,27,0,0,31,0,31,0,31,0,31,0,31,0,27,0,27,0,27,0,27,0,16,21,19,14,27,9,9,23,17,15,21,11,28,4,20,10,27,3,7,3,8,22,16,14,8,3,20,3,16,10,17,4,16,3,17,11,21,4,8,14,0,31,0,5,31,22,0,31,0,31,7,24,0,31,0,24,0,31,0,31,0,31,7,24,0,31,0,31,0,24,0,31,0,24,0,24,0,31,0,31,0,31,0,24,1.0
31,0,31,0,31,0,30,31,1,31,0,31,0,31,0,31,0,31,0,31,0,30,0,31,0,0,31,0,31,0,31,0,31,0,31,0,30,0,31,0,30,0,31,0,3,31,4,27,10,26,0,31,4,28,5,27,12,20,4,26,11,19,0,18,0,31,3,27,0,19,4,19,3,26,4,20,3,19,4,27,5,20,0,27,10,31,0,26,17,3,12,19,0,31,27,4,0,19,12,4,12,19,0,31,0,31,27,4,0,31,0,31,12,4,0,31,0,4,0,4,0,19,0,19,0,31,0,4,1.0
31,0,31,0,29,6,22,24,8,31,0,30,0,31,0,31,0,31,0,30,1,23,7,24,1,0,30,1,31,0,31,0,30,0,30,0,23,1,24,0,23,0,24,0,0,31,19,29,31,7,0,31,1,30,22,10,31,0,21,9,31,0,0,0,0,31,1,30,0,0,21,0,1,9,1,0,1,0,1,10,22,0,0,30,0,31,0,4,31,20,0,31,0,31,8,24,0,31,0,23,0,31,0,31,0,31,7,23,0,31,0,31,0,24,0,31,0,23,0,24,0,31,0,31,0,31,0,24,0.0
31,0,31,0,31,1,24,27,4,31,0,31,0,31,0,31,0,31,0,31,0,27,4,27,0,0,31,0,31,0,31,0,31,0,31,0,27,0,27,0,27,0,27,0,10,21,12,20,16,18,7,25,11,21,13,19,17,15,12,18,16,14,3,14,6,24,10,20,6,14,12,14,10,18,11,15,10,14,11,19,13,15,6,20,2,31,0,23,23,6,5,26,0,31,24,7,0,26,5,7,5,26,0,31,0,31,24,7,0,31,0,31,5,7,0,31,0,7,0,7,0,26,0,26,0,31,0,7,1.0
31,0,31,0,31,9,14,18,13,31,0,31,0,31,0,31,0,31,0,31,0,18,13,18,0,0,31,0,31,0,31,0,31,0,31,0,18,0,18,0,18,0,18,0,5,26,9,25,16,21,5,27,6,26,10,22,17,15,9,21,16,14,4,14,4,26,5,25,4,14,9,14,5,21,6,15,5,14,6,22,10,15,4,25,11,27,0,20,16,7,12,18,0,31,22,8,2,18,13,9,13,17,1,29,0,31,22,9,0,31,2,29,13,9,0,29,2,9,2,9,2,18,0,18,0,29,0,9,0.0
31,0,29,5,24,8,20,21,10,30,0,25,0,30,0,31,0,30,1,25,6,21,9,22,6,0,25,5,30,1,31,0,25,1,25,1,21,6,22,1,21,1,22,0,10,26,15,20,26,15,4,27,11,21,16,16,27,5,15,15,26,4,3,4,4,27,10,20,4,4,15,4,10,15,11,5,10,4,11,16,16,5,4,20,0,31,0,20,31,7,0,31,0,31,22,9,0,31,0,9,0,31,0,31,0,31,22,9,0,31,0,31,0,9,0,31,0,9,0,9,0,31,0,31,0,31,0,9,1.0
31,0,31,9,14,23,6,6,24,31,0,18,0,31,0,31,0,31,0,18,13,7,24,7,13,0,18,12,31,0,31,0,18,0,18,0,7,13,7,0,7,0,7,0,13,20,16,17,31,10,11,21,14,18,19,13,31,0,18,12,31,0,10,0,10,20,13,17,10,0,18,0,13,12,14,0,13,0,14,13,19,0,10,17,0,31,0,21,27,3,2,29,0,31,25,7,0,29,2,6,2,29,0,31,0,31,24,6,0,31,0,31,2,7,0,31,0,6,0,7,0,29,0,29,0,31,0,7,1.0
24,5,22,10,20,16,9,12,19,24,5,20,5,24,5,26,4,23,7,21,11,12,19,12,10,3,20,10,23,7,26,4,21,7,20,7,12,11,12,7,12,7,12,5,17,19,24,13,28,6,9,22,18,14,25,7,29,2,24,6,29,2,6,1,9,22,17,13,9,2,24,2,17,6,18,2,17,2,18,7,25,2,9,13,5,31,0,15,20,9,6,23,0,31,19,11,0,23,8,12,8,23,0,31,0,31,18,12,0,31,0,31,8,13,0,31,0,12,0,13,0,23,0,23,0,31,0,13,1.0
31,0,31,2,20,30,0,1,31,31,0,25,0,31,0,31,0,31,0,24,6,0,30,1,7,0,25,7,31,0,31,0,24,0,25,0,0,6,1,0,0,0,1,0,0,31,11,31,16,15,0,31,0,31,14,18,18,14,13,17,17,13,0,12,0,31,0,31,0,13,13,13,0,17,0,14,0,13,0,18,14,14,0,31,11,19,10,24,18,6,12,18,10,20,24,6,11,18,12,7,12,19,11,19,10,20,25,7,10,19,10,19,12,6,10,20,11,7,11,6,11,19,11,19,11,20,11,6,1.0
31,0,31,1,28,5,25,26,6,31,0,29,0,31,0,31,0,31,0,29,2,25,5,26,2,0,29,2,31,0,31,0,29,0,29,0,25,2,26,0,25,0,26,0,1,31,5,29,12,25,0,31,2,30,6,26,16,15,5,25,16,15,0,11,0,31,1,29,0,15,5,15,1,25,2,15,1,15,2,26,6,15,0,29,7,31,0,27,18,3,10,21,0,31,28,4,0,21,10,3,10,21,0,31,0,31,27,3,0,31,0,31,10,4,0,31,0,3,0,4,0,21,0,21,0,31,0,4,1.0
31,0,31,0,27,8,19,21,10,31,0,29,0,31,0,31,0,31,0,29,2,21,10,21,2,0,29,2,31,0,31,0,29,0,29,0,21,2,21,0,21,0,21,0,11,25,18,19,26,12,5,27,12,20,19,13,27,4,18,12,27,4,3,3,4,26,11,19,4,4,18,4,11,12,12,4,11,4,12,13,19,4,4,19,0,31,0,15,31,9,0,31,0,31,19,13,0,31,0,12,0,31,0,31,0,31,18,12,0,31,0,31,0,13,0,31,0,12,0,13,0,31,0,31,0,31,0,13,1.0
29,4,25,7,16,19,5,8,23,26,1,20,1,26,1,30,0,25,5,20,11,8,22,9,11,0,20,10,26,5,30,1,20,5,20,5,8,11,9,5,8,5,9,1,7,31,17,21,30,7,0,31,9,23,21,11,31,1,20,10,30,0,0,0,0,31,8,22,0,0,20,0,8,10,9,1,8,0,9,11,21,1,0,22,11,18,0,19,12,10,14,14,1,30,20,10,8,16,15,11,14,15,8,22,1,30,20,10,5,29,7,22,15,10,1,22,9,11,9,11,9,16,1,16,1,22,1,11,1.0
31,0,31,3,27,5,23,25,7,31,0,28,0,31,0,31,0,31,0,27,3,24,6,25,4,0,28,4,31,0,31,0,27,0,28,0,24,3,25,0,24,0,25,0,3,31,15,26,28,12,0,31,4,27,17,14,29,2,17,13,29,2,0,1,0,31,3,27,0,2,17,2,4,14,4,2,4,2,4,14,17,2,0,27,0,31,0,15,29,11,1,30,0,31,18,14,0,30,1,13,1,30,0,31,0,31,17,13,0,31,0,31,1,14,0,31,0,13,0,14,0,30,0,30,0,31,0,14,0.0
31,0,31,0,31,6,23,24,7,31,0,31,0,31,0,31,0,31,0,31,0,24,7,24,0,0,31,0,31,0,31,0,31,0,31,0,24,0,24,0,24,0,24,0,6,27,11,24,17,17,3,29,7,25,13,19,18,14,12,18,17,13,1,13,2,28,6,24,2,13,12,13,6,18,7,14,6,13,7,19,13,14,2,24,2,31,0,22,23,5,4,26,0,31,24,6,0,26,5,7,5,26,0,31,0,31,24,7,0,31,0,31,5,7,0,31,0,7,0,7,0,26,0,26,0,31,0,7,0.0
24,14,12,24,6,29,1,2,30,15,6,7,6,14,5,25,5,14,16,6,24,1,29,2,25,4,7,25,15,17,26,6,6,16,7,17,1,24,2,17,1,16,2,6,4,31,14,22,20,16,0,31,6,24,14,16,22,8,15,17,23,9,0,6,0,31,7,25,0,9,15,9,7,17,6,8,7,9,6,16,14,8,0,25,28,0,1,30,0,0,29,0,5,26,31,0,27,2,29,0,29,0,26,3,5,26,30,0,24,22,26,4,30,0,5,4,27,0,28,1,27,1,5,2,5,3,5,1,1.0
31,0,31,0,31,11,13,17,15,31,0,31,0,31,0,31,0,31,0,31,0,16,14,17,0,0,31,0,31,0,31,0,31,0,31,0,16,0,17,0,16,0,17,0,5,29,8,25,24,18,1,30,6,26,11,21,27,4,10,20,27,4,0,1,1,30,5,25,1,4,10,4,5,20,6,4,5,4,6,21,11,4,1,25,9,31,0,17,14,8,12,18,0,31,20,10,0,18,13,11,13,18,0,31,0,31,20,11,0,31,0,31,13,11,0,31,0,11,0,11,0,18,0,18,0,31,0,11,1.0
31,0,31,0,31,13,14,16,15,31,0,31,0,31,0,31,0,31,0,31,0,16,15,16,0,0,31,0,31,0,31,0,31,0,31,0,16,0,16,0,16,0,16,0,14,20,18,14,20,12,11,21,16,16,19,13,21,11,18,12,20,10,10,10,10,20,15,15,10,10,18,10,15,12,16,11,15,10,16,13,19,11,10,15,0,31,0,12,29,17,1,30,0,31,13,18,0,30,1,18,1,30,0,31,0,31,13,18,0,31,0,31,1,18,0,31,0,18,0,18,0,30,0,30,0,31,0,18,1.0
31,0,31,0,27,5,22,23,7,31,0,29,0,31,0,31,0,31,0,29,2,24,7,24,2,0,29,1,31,0,31,0,29,0,29,0,24,2,24,0,24,0,24,0,2,30,18,26,24,10,1,31,4,28,20,12,25,7,19,11,24,6,0,6,0,30,3,27,0,6,19,6,3,11,4,7,3,6,4,12,20,7,0,27,2,31,0,13,25,16,4,27,0,31,14,17,0,27,4,17,4,27,0,31,0,31,14,17,0,31,0,31,4,17,0,31,0,17,0,17,0,27,0,27,0,31,0,17,1.0
31,0,31,1,26,13,13,15,16,31,0,28,0,31,0,31,0,31,0,28,3,15,15,16,3,0,28,2,31,0,31,0,28,0,28,0,15,3,16,0,15,0,16,0,12,26,21,16,31,7,4,27,14,18,23,9,31,0,22,7,31,0,3,0,4,27,12,17,4,0,22,0,13,8,14,0,13,0,14,9,23,0,4,17,0,31,0,11,31,13,0,31,0,31,15,17,0,31,0,16,0,31,0,31,0,31,14,16,0,31,0,31,0,17,0,31,0,16,0,17,0,31,0,31,0,31,0,17,1.0
31,0,29,2,25,8,17,19,11,30,0,27,0,30,0,31,0,30,1,27,4,20,11,20,4,0,27,3,30,1,31,0,27,1,27,1,20,4,20,1,20,1,20,0,4,30,14,24,27,14,1,31,6,26,16,16,29,3,15,14,28,2,0,1,0,30,4,25,0,2,15,2,5,15,6,3,5,2,6,16,16,3,0,25,1,31,0,20,28,0,2,29,0,31,26,6,0,29,2,5,2,29,0,31,0,31,25,5,0,31,0,31,2,6,0,31,0,5,0,6,0,29,0,29,0,31,0,6,1.0
31,0,31,4,25,8,12,17,14,31,0,26,0,31,0,31,0,31,0,26,5,17,13,18,5,0,26,4,31,0,31,0,26,0,26,0,17,5,18,0,17,0,18,0,5,31,10,25,26,14,0,31,5,26,14,17,28,3,13,17,28,3,0,1,0,31,5,25,0,3,13,3,5,17,6,3,5,3,6,18,14,3,0,25,11,31,0,23,12,1,14,16,0,31,27,4,0,16,15,4,15,16,0,31,0,31,26,4,0,31,0,31,15,5,0,31,0,4,0,5,0,16,0,16,0,31,0,5,1.0
31,0,31,0,29,12,12,15,16,31,0,30,0,31,0,31,0,31,0,30,1,15,15,16,1,0,30,0,31,0,31,0,30,0,30,0,15,1,16,0,15,0,16,0,10,31,10,20,11,20,0,31,10,21,11,20,12,20,10,20,11,19,0,19,0,31,10,20,0,19,10,19,10,20,11,20,10,19,11,21,11,20,0,20,17,16,0,19,12,8,17,12,1,29,21,9,12,12,18,10,18,13,13,18,2,29,21,10,11,27,12,17,18,9,1,18,13,10,13,9,13,13,1,13,2,18,2,10,1.0
31,0,31,0,30,9,21,22,10,31,0,31,0,31,0,31,0,31,0,30,0,21,9,22,1,0,31,1,31,0,31,0,30,0,31,0,21,0,22,0,21,0,22,0,0,31,8,31,18,22,0,31,0,31,9,23,21,11,8,22,20,10,0,8,0,31,0,31,0,10,8,10,0,22,0,11,0,10,0,23,9,11,0,31,10,28,0,16,17,13,11,19,0,31,17,13,2,19,12,14,12,19,2,29,0,31,17,14,1,31,2,29,12,14,0,29,2,14,2,14,2,19,0,19,0,29,0,14,1.0
31,1,28,10,12,30,0,0,31,29,0,17,0,29,0,31,0,29,2,16,14,0,30,0,15,0,16,14,29,1,31,0,16,2,17,1,0,14,1,2,0,2,1,0,6,31,23,22,31,7,0,31,8,24,24,8,31,0,23,7,31,0,0,0,0,31,7,23,0,0,23,0,7,7,8,0,7,0,8,8,24,0,0,23,16,24,0,28,9,0,19,12,1,30,30,2,5,12,19,1,19,12,5,26,1,30,29,1,3,29,5,26,19,2,1,26,5,1,5,2,5,12,1,12,1,26,1,2,1.0
31,0,31,2,27,12,15,17,14,31,0,28,0,31,0,31,0,31,0,28,3,17,14,17,3,0,28,3,31,0,31,0,28,0,28,0,17,3,17,0,17,0,17,0,13,27,14,17,17,16,3,29,14,18,15,17,20,12,14,16,19,11,1,9,2,28,13,17,2,11,14,11,13,16,14,12,13,11,14,17,15,12,2,17,11,27,0,16,18,11,11,19,0,31,18,12,2,19,12,13,12,19,2,29,0,31,18,13,0,31,2,29,12,13,0,29,2,13,2,13,2,19,0,19,0,29,0,13,1.0
31,0,31,0,31,4,26,27,5,31,0,31,0,31,0,31,0,31,0,31,0,26,4,27,0,0,31,0,31,0,31,0,31,0,31,0,26,0,27,0,26,0,27,0,0,31,19,26,21,11,0,31,3,29,20,12,22,10,19,11,21,9,0,9,0,31,2,28,0,9,19,9,2,11,3,10,2,9,3,12,20,10,0,28,11,25,0,14,18,15,12,19,0,31,15,16,4,19,12,16,11,19,4,27,0,31,15,15,2,31,4,27,12,16,0,27,4,16,4,16,4,19,0,19,0,27,0,16,1.0
31,0,31,1,27,12,14,17,15,31,0,29,0,31,0,31,0,31,0,28,2,16,14,17,3,0,29,3,31,0,31,0,28,0,29,0,16,2,17,0,16,0,17,0,0,31,1,31,24,28,0,31,0,31,2,29,27,4,2,29,27,4,0,1,0,31,0,31,0,4,2,4,0,29,0,4,0,4,0,29,2,4,0,31,8,25,0,30,7,0,16,13,0,31,31,1,3,15,16,0,16,15,3,28,0,31,30,0,0,31,1,28,16,1,0,28,3,0,3,1,3,15,0,15,0,28,0,1,1.0
31,0,31,0,31,5,19,23,9,31,0,31,0,31,0,31,0,31,0,31,0,22,8,23,0,0,31,0,31,0,31,0,31,0,31,0,22,0,23,0,22,0,23,0,8,31,16,22,24,12,0,31,9,23,18,14,25,6,17,13,25,6,0,5,0,31,8,22,0,6,17,6,8,13,9,6,8,6,9,14,18,6,0,22,0,31,0,11,31,18,0,31,0,31,12,19,0,31,0,19,0,31,0,31,0,31,12,19,0,31,0,31,0,19,0,31,0,19,0,19,0,31,0,31,0,31,0,19,1.0
31,0,31,0,31,4,21,24,7,31,0,31,0,31,0,31,0,31,0,31,0,24,7,24,0,0,31,0,31,0,31,0,31,0,31,0,24,0,24,0,24,0,24,0,10,23,15,20,19,15,6,26,11,21,16,16,20,12,15,15,19,11,3,11,5,25,10,20,5,11,15,11,10,15,11,12,10,11,11,16,16,12,5,20,0,31,0,17,31,10,0,31,0,31,19,12,0,31,0,12,0,31,0,31,0,31,19,12,0,31,0,31,0,12,0,31,0,12,0,12,0,31,0,31,0,31,0,12,1.0
31,0,31,0,31,15,12,14,17,31,0,31,0,31,0,31,0,31,0,31,0,14,17,14,0,0,31,0,31,0,31,0,31,0,31,0,14,0,14,0,14,0,14,0,6,26,7,24,15,23,5,27,7,25,8,24,16,15,7,23,16,15,4,14,4,26,6,24,4,15,7,15,6,23,7,15,6,15,7,24,8,15,4,24,12,26,0,19,13,7,14,15,0,31,22,9,2,16,15,9,15,16,3,28,0,31,21,9,1,31,2,28,15,9,0,28,3,9,3,10,3,16,0,16,0,28,0,10,1.0
31,0,31,2,27,5,22,24,7,31,0,28,0,31,0,31,0,31,0,28,2,23,7,24,3,0,28,3,31,0,31,0,28,0,28,0,24,3,24,0,24,0,24,0,3,29,12,25,22,18,1,30,5,27,13,19,24,8,12,18,23,7,0,6,1,30,4,26,1,7,12,7,4,18,5,8,4,7,5,19,13,8,1,26,7,31,0,18,18,11,9,21,0,31,19,11,0,21,10,12,10,21,0,31,0,31,19,12,0,31,0,31,10,12,0,31,0,12,0,12,0,21,0,21,0,31,0,12,1.0
28,8,18,13,11,25,3,4,27,21,2,15,2,20,1,29,1,20,9,13,15,3,26,5,17,0,14,16,21,10,30,2,14,10,15,11,4,16,5,11,4,10,5,2,4,27,12,19,25,9,3,28,8,23,16,14,28,2,17,13,28,3,2,0,2,28,7,22,3,3,17,3,8,14,8,3,8,3,8,14,17,3,3,23,17,16,4,30,10,0,18,12,5,26,31,0,12,12,19,0,19,10,10,19,5,26,30,0,9,25,12,19,19,1,5,19,12,0,12,1,12,12,5,12,5,19,5,1,0.0
31,0,31,0,31,4,21,24,7,31,0,31,0,31,0,31,0,31,0,31,0,24,7,24,0,0,31,0,31,0,31,0,31,0,31,0,24,0,24,0,24,0,24,0,7,25,12,23,15,18,5,27,8,24,13,19,17,15,12,18,16,14,3,13,4,26,7,23,4,14,12,14,7,18,8,15,7,14,8,19,13,15,4,23,3,31,0,23,24,6,5,26,0,31,24,7,0,26,5,7,5,26,0,31,0,31,24,7,0,31,0,31,5,7,0,31,0,7,0,7,0,26,0,26,0,31,0,7,0.0
31,0,29,1,26,12,16,17,14,30,0,28,0,30,0,31,0,30,1,28,3,17,13,17,3,0,27,2,30,0,31,0,28,1,28,0,17,3,18,1,17,1,18,0,6,31,13,24,17,15,0,31,7,25,15,17,18,14,14,16,17,13,0,13,0,31,6,24,0,13,14,13,6,16,7,14,6,13,7,17,15,14,0,24,20,23,0,23,7,6,21,9,0,31,24,6,5,9,22,7,21,9,5,26,0,31,24,6,2,31,5,26,22,7,0,26,5,7,5,7,5,9,0,9,0,26,0,7,0.0
31,0,31,2,25,16,6,10,21,31,0,27,0,31,0,31,0,31,0,27,4,10,20,11,4,0,27,3,31,0,31,0,27,0,27,0,10,4,11,0,10,0,11,0,13,25,18,13,31,8,3,28,15,16,21,10,31,0,20,10,31,0,0,0,3,28,15,15,3,0,20,0,15,10,16,0,15,0,16,11,21,0,3,15,2,31,0,8,27,10,2,28,0,31,15,16,0,28,3,16,3,28,0,31,0,31,14,16,0,31,0,31,3,17,0,31,0,16,0,17,0,28,0,28,0,31,0,17,0.0
31,0,29,1,23,16,8,11,20,30,0,27,0,30,0,31,0,30,0,25,4,11,19,11,5,0,26,4,30,0,31,0,26,1,27,0,11,4,12,1,11,1,12,0,0,31,3,31,21,25,0,31,0,31,5,27,25,6,4,26,25,6,0,2,0,31,0,31,0,6,4,6,0,26,0,6,0,6,0,27,5,6,0,31,21,10,0,26,6,3,22,7,0,31,27,3,15,8,23,4,23,7,15,15,0,31,27,4,11,31,15,15,23,3,0,15,16,4,16,4,16,8,0,8,0,15,0,4,1.0
31,0,31,0,31,0,31,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,7,29,12,23,20,18,2,30,8,24,13,19,21,11,12,18,20,10,1,10,1,29,7,23,1,10,12,10,7,18,8,11,7,10,8,19,13,11,1,23,7,31,0,10,22,19,7,23,0,31,11,19,0,23,8,20,8,23,0,31,0,31,11,20,0,31,0,31,8,20,0,31,0,20,0,20,0,23,0,23,0,31,0,20,1.0
31,0,29,6,19,14,12,13,17,30,0,22,0,30,0,31,0,30,1,22,9,14,16,15,9,0,22,7,30,1,31,0,22,1,22,1,14,9,15,1,14,1,15,0,4,31,7,26,12,21,0,31,5,27,9,23,15,17,8,22,14,16,0,14,0,31,4,26,0,16,8,16,4,22,5,17,4,16,5,23,9,17,0,26,16,15,0,20,13,5,16,13,0,31,23,7,13,14,17,8,17,14,14,17,0,31,23,8,12,31,13,17,17,7,0,17,14,8,14,8,14,14,0,14,0,17,0,8,0.0
31,0,31,0,31,3,16,22,9,31,0,31,0,31,0,31,0,31,0,31,0,22,9,22,0,0,31,0,31,0,31,0,31,0,31,0,22,0,22,0,22,0,22,0,15,29,17,15,21,13,2,30,16,16,18,14,22,10,17,13,21,9,1,9,1,29,15,15,1,9,17,9,15,13,16,10,15,9,16,14,18,10,1,15,0,31,0,14,31,13,0,31,0,31,16,15,0,31,0,15,0,31,0,31,0,31,16,15,0,31,0,31,0,15,0,31,0,15,0,15,0,31,0,31,0,31,0,15,0.0
31,0,31,0,31,1,24,27,4,31,0,31,0,31,0,31,0,31,0,31,0,27,4,27,0,0,31,0,31,0,31,0,31,0,31,0,27,0,27,0,27,0,27,0,10,28,11,20,17,19,3,29,11,21,12,20,18,14,11,19,17,13,2,13,2,28,10,20,2,13,11,13,10,19,11,14,10,13,11,20,12,14,2,20,8,31,0,20,15,9,11,19,0,31,21,9,0,19,12,10,12,19,0,31,0,31,21,10,0,31,0,31,12,10,0,31,0,10,0,10,0,19,0,19,0,31,0,10,0.0
31,0,31,0,31,10,15,18,13,31,0,31,0,31,0,31,0,31,0,31,0,18,13,18,0,0,31,0,31,0,31,0,31,0,31,0,18,0,18,0,18,0,18,0,6,27,8,24,21,22,4,28,7,25,9,23,24,8,8,22,23,7,3,5,3,27,6,24,3,7,8,7,6,22,7,8,6,7,7,23,9,8,3,24,14,31,0,19,13,10,15,15,0,31,20,10,0,15,16,11,16,15,0,31,0,31,20,11,0,31,0,31,16,11,0,31,0,11,0,11,0,15,0,15,0,31,0,11,1.0
31,0,31,2,27,8,15,18,12,31,0,28,0,31,0,31,0,31,0,28,3,19,12,19,3,0,28,2,31,0,31,0,28,0,28,0,19,3,19,0,19,0,19,0,10,26,15,20,28,13,5,27,11,21,17,15,29,3,16,14,28,2,4,2,4,26,10,20,4,2,16,2,10,14,11,3,10,2,11,15,17,3,4,20,0,31,0,16,25,11,2,28,0,31,18,12,0,28,3,13,3,28,0,31,0,31,18,13,0,31,0,31,3,13,0,31,0,13,0,13,0,28,0,28,0,31,0,13,0.0
